img_id,dialog,narration,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes,tag,sentiment,subjectivity,emotion,addressee,pos,svo,argument
bp_0_0_0,perhaps queely fell easily to your blade--,"[""the black panther's superb agility keeps him alive until he's in position to counter-attack...""]","[[4.0, 107.0, 199.0, 160.0]]","[[2.0, 3.0, 251.0, 101.0]]","[[41.0, 176.0, 214.0, 315.0]]",INFORM,0.43333333333333335,0.8333333333333334,"{""fear"": 0.3282, ""neutral"": 0.3211, ""anger"": 0.1389, ""surprise"": 0.0955, ""disgust"": 0.0538, ""sadness"": 0.0513, ""joy"": 0.0111}",,"[{""text"": ""perhaps"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head"": ""fell""}, {""text"": ""queely"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head"": ""fell""}, {""text"": ""fell"", ""pos"": ""VERB"", ""dep"": ""ROOT"", ""head"": ""fell""}, {""text"": ""easily"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head"": ""fell""}, {""text"": ""to"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""fell""}, {""text"": ""your"", ""pos"": ""PRON"", ""dep"": ""poss"", ""head"": ""blade--""}, {""text"": ""blade--"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""to""}]",,The speaker seems positive or satisfied with the situation.
bp_0_0_3,-- but you will find the panther a most uncooperative target!,"['then, with cobra-speed, the black panther strikes back!']","[[6.0, 56.0, 277.0, 121.0]]","[[6.0, 6.0, 344.0, 51.0]]","[[83.0, 180.0, 200.0, 281.0]]",INFORM,0.625,0.5,"{""anger"": 0.6034, ""disgust"": 0.196, ""neutral"": 0.1373, ""sadness"": 0.0338, ""surprise"": 0.0112, ""fear"": 0.0093, ""joy"": 0.009}",,"[{""text"": ""--"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""find""}, {""text"": ""but"", ""pos"": ""CCONJ"", ""dep"": ""cc"", ""head"": ""find""}, {""text"": ""you"", ""pos"": ""PRON"", ""dep"": ""nsubj"", ""head"": ""find""}, {""text"": ""will"", ""pos"": ""AUX"", ""dep"": ""aux"", ""head"": ""find""}, {""text"": ""find"", ""pos"": ""VERB"", ""dep"": ""ROOT"", ""head"": ""find""}, {""text"": ""the"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""panther""}, {""text"": ""panther"", ""pos"": ""NOUN"", ""dep"": ""nsubj"", ""head"": ""target""}, {""text"": ""a"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""target""}, {""text"": ""most"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head"": ""uncooperative""}, {""text"": ""uncooperative"", ""pos"": ""ADJ"", ""dep"": ""amod"", ""head"": ""target""}, {""text"": ""target"", ""pos"": ""NOUN"", ""dep"": ""dobj"", ""head"": ""find""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""find""}]",you + find(active) + the panther a most uncooperative target,The speaker seems positive or satisfied with the situation.
bp_0_100_0,i am honored by this gathering of royal panthers! destiny demands that one of you must take command of a dangerous situation!,[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",,-0.75,0.9,"{""joy"": 0.9659, ""anger"": 0.0227, ""surprise"": 0.0046, ""fear"": 0.0027, ""sadness"": 0.0026, ""neutral"": 0.0009, ""disgust"": 0.0005}",,"[{""text"": ""i"", ""pos"": ""PRON"", ""dep"": ""nsubjpass"", ""head"": ""honored""}, {""text"": ""am"", ""pos"": ""AUX"", ""dep"": ""auxpass"", ""head"": ""honored""}, {""text"": ""honored"", ""pos"": ""VERB"", ""dep"": ""ROOT"", ""head"": ""honored""}, {""text"": ""by"", ""pos"": ""ADP"", ""dep"": ""agent"", ""head"": ""honored""}, {""text"": ""this"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""gathering""}, {""text"": ""gathering"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""by""}, {""text"": ""of"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""gathering""}, {""text"": ""royal"", ""pos"": ""ADJ"", ""dep"": ""compound"", ""head"": ""panthers""}, {""text"": ""panthers"", ""pos"": ""PROPN"", ""dep"": ""pobj"", ""head"": ""of""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""honored""}, {""text"": ""destiny"", ""pos"": ""NOUN"", ""dep"": ""nsubj"", ""head"": ""demands""}, {""text"": ""demands"", ""pos"": ""VERB"", ""dep"": ""ROOT"", ""head"": ""demands""}, {""text"": ""that"", ""pos"": ""SCONJ"", ""dep"": ""mark"", ""head"": ""take""}, {""text"": ""one"", ""pos"": ""NUM"", ""dep"": ""nsubj"", ""head"": ""take""}, {""text"": ""of"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""one""}, {""text"": ""you"", ""pos"": ""PRON"", ""dep"": ""pobj"", ""head"": ""of""}, {""text"": ""must"", ""pos"": ""AUX"", ""dep"": ""aux"", ""head"": ""take""}, {""text"": ""take"", ""pos"": ""VERB"", ""dep"": ""ccomp"", ""head"": ""demands""}, {""text"": ""command"", ""pos"": ""NOUN"", ""dep"": ""dobj"", ""head"": ""take""}, {""text"": ""of"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""command""}, {""text"": ""a"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""situation""}, {""text"": ""dangerous"", ""pos"": ""ADJ"", ""dep"": ""amod"", ""head"": ""situation""}, {""text"": ""situation"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""of""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""demands""}]",i + honored(passive) + ,The speaker feels negative because of the situation.
bp_0_100_0,"i'm involved in high finance, n'gass! can you possibly imagine me dashing about with spear and shield?",[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",,0.1,0.77,"{""anger"": 0.5184, ""fear"": 0.1947, ""surprise"": 0.1412, ""joy"": 0.0629, ""disgust"": 0.0298, ""neutral"": 0.0277, ""sadness"": 0.0253}",,"[{""text"": ""i"", ""pos"": ""PRON"", ""dep"": ""nsubjpass"", ""head"": ""involved""}, {""text"": ""'m"", ""pos"": ""AUX"", ""dep"": ""auxpass"", ""head"": ""involved""}, {""text"": ""involved"", ""pos"": ""VERB"", ""dep"": ""ROOT"", ""head"": ""involved""}, {""text"": ""in"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""involved""}, {""text"": ""high"", ""pos"": ""ADJ"", ""dep"": ""amod"", ""head"": ""finance""}, {""text"": ""finance"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""in""}, {""text"": "","", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""finance""}, {""text"": ""n'gass"", ""pos"": ""NOUN"", ""dep"": ""appos"", ""head"": ""finance""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""involved""}, {""text"": ""can"", ""pos"": ""AUX"", ""dep"": ""aux"", ""head"": ""imagine""}, {""text"": ""you"", ""pos"": ""PRON"", ""dep"": ""nsubj"", ""head"": ""imagine""}, {""text"": ""possibly"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head"": ""imagine""}, {""text"": ""imagine"", ""pos"": ""VERB"", ""dep"": ""ROOT"", ""head"": ""imagine""}, {""text"": ""me"", ""pos"": ""PRON"", ""dep"": ""nsubj"", ""head"": ""dashing""}, {""text"": ""dashing"", ""pos"": ""VERB"", ""dep"": ""ccomp"", ""head"": ""imagine""}, {""text"": ""about"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""dashing""}, {""text"": ""with"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""dashing""}, {""text"": ""spear"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""with""}, {""text"": ""and"", ""pos"": ""CCONJ"", ""dep"": ""cc"", ""head"": ""spear""}, {""text"": ""shield"", ""pos"": ""NOUN"", ""dep"": ""conj"", ""head"": ""spear""}, {""text"": ""?"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""imagine""}]",i + involved(passive) + ,The speaker might be upset or afraid because of what happened.
bp_0_100_0,i hear we've been summoned to deal with some provincial demon!,[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",INFORM,0.0,0.0,"{""fear"": 0.4308, ""anger"": 0.2267, ""sadness"": 0.1604, ""surprise"": 0.101, ""joy"": 0.0699, ""neutral"": 0.0079, ""disgust"": 0.0033}",,"[{""text"": ""i"", ""pos"": ""PRON"", ""dep"": ""nsubj"", ""head"": ""hear""}, {""text"": ""hear"", ""pos"": ""VERB"", ""dep"": ""ROOT"", ""head"": ""hear""}, {""text"": ""we"", ""pos"": ""PRON"", ""dep"": ""nsubjpass"", ""head"": ""summoned""}, {""text"": ""'ve"", ""pos"": ""AUX"", ""dep"": ""aux"", ""head"": ""summoned""}, {""text"": ""been"", ""pos"": ""AUX"", ""dep"": ""auxpass"", ""head"": ""summoned""}, {""text"": ""summoned"", ""pos"": ""VERB"", ""dep"": ""ccomp"", ""head"": ""hear""}, {""text"": ""to"", ""pos"": ""PART"", ""dep"": ""aux"", ""head"": ""deal""}, {""text"": ""deal"", ""pos"": ""VERB"", ""dep"": ""xcomp"", ""head"": ""summoned""}, {""text"": ""with"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""deal""}, {""text"": ""some"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""demon""}, {""text"": ""provincial"", ""pos"": ""ADJ"", ""dep"": ""amod"", ""head"": ""demon""}, {""text"": ""demon"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""with""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""hear""}]",i + hear(active) + we 've been summoned to deal with some provincial demon,The speaker might be upset or afraid because of what happened.
bp_0_100_0,it's something like that!,[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",FEEDBACK,0.0,0.0,"{""surprise"": 0.6902, ""anger"": 0.1765, ""disgust"": 0.0523, ""neutral"": 0.0367, ""joy"": 0.0303, ""sadness"": 0.0074, ""fear"": 0.0066}",,"[{""text"": ""it"", ""pos"": ""PRON"", ""dep"": ""nsubj"", ""head"": ""'s""}, {""text"": ""'s"", ""pos"": ""AUX"", ""dep"": ""ROOT"", ""head"": ""'s""}, {""text"": ""something"", ""pos"": ""PRON"", ""dep"": ""attr"", ""head"": ""'s""}, {""text"": ""like"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""something""}, {""text"": ""that"", ""pos"": ""PRON"", ""dep"": ""pobj"", ""head"": ""like""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""'s""}]",,The speaker might be upset or afraid because of what happened.
bp_0_100_0,"a local prankster, no doubt!",[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",FEEDBACK,0.0,0.0,"{""joy"": 0.5082, ""surprise"": 0.1732, ""anger"": 0.1339, ""neutral"": 0.1271, ""disgust"": 0.0308, ""fear"": 0.0201, ""sadness"": 0.0068}",a local prankster,"[{""text"": ""a"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""prankster""}, {""text"": ""local"", ""pos"": ""ADJ"", ""dep"": ""amod"", ""head"": ""prankster""}, {""text"": ""prankster"", ""pos"": ""NOUN"", ""dep"": ""ROOT"", ""head"": ""prankster""}, {""text"": "","", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""prankster""}, {""text"": ""no"", ""pos"": ""ADV"", ""dep"": ""neg"", ""head"": ""doubt""}, {""text"": ""doubt"", ""pos"": ""NOUN"", ""dep"": ""appos"", ""head"": ""prankster""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""prankster""}]",,The speaker might be upset or afraid because of what happened.
bp_0_100_2,"the demon is real indeed! and, in t'challa's absence, there must be a black panther at the helm in this crisis!",[],"[[13.0, 9.0, 213.0, 122.0], [230.0, 6.0, 428.0, 89.0]]",[],"[[22.0, 139.0, 169.0, 321.0], [214.0, 93.0, 388.0, 261.0]]",,0.009722222222222224,0.24444444444444446,"{""surprise"": 0.2953, ""anger"": 0.2443, ""neutral"": 0.2303, ""disgust"": 0.1105, ""fear"": 0.0703, ""sadness"": 0.0262, ""joy"": 0.023}",,"[{""text"": ""the"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""demon""}, {""text"": ""demon"", ""pos"": ""NOUN"", ""dep"": ""nsubj"", ""head"": ""is""}, {""text"": ""is"", ""pos"": ""AUX"", ""dep"": ""ROOT"", ""head"": ""is""}, {""text"": ""real"", ""pos"": ""ADJ"", ""dep"": ""acomp"", ""head"": ""is""}, {""text"": ""indeed"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head"": ""is""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""is""}, {""text"": ""and"", ""pos"": ""CCONJ"", ""dep"": ""cc"", ""head"": ""be""}, {""text"": "","", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""be""}, {""text"": ""in"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""be""}, {""text"": ""t'challa"", ""pos"": ""PROPN"", ""dep"": ""poss"", ""head"": ""absence""}, {""text"": ""'s"", ""pos"": ""PART"", ""dep"": ""case"", ""head"": ""t'challa""}, {""text"": ""absence"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""in""}, {""text"": "","", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""be""}, {""text"": ""there"", ""pos"": ""PRON"", ""dep"": ""expl"", ""head"": ""be""}, {""text"": ""must"", ""pos"": ""AUX"", ""dep"": ""aux"", ""head"": ""be""}, {""text"": ""be"", ""pos"": ""AUX"", ""dep"": ""ROOT"", ""head"": ""be""}, {""text"": ""a"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""panther""}, {""text"": ""black"", ""pos"": ""ADJ"", ""dep"": ""amod"", ""head"": ""panther""}, {""text"": ""panther"", ""pos"": ""NOUN"", ""dep"": ""attr"", ""head"": ""be""}, {""text"": ""at"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""be""}, {""text"": ""the"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""helm""}, {""text"": ""helm"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""at""}, {""text"": ""in"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""be""}, {""text"": ""this"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""crisis""}, {""text"": ""crisis"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""in""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""be""}]",,The speaker might be upset or afraid because of what happened.
bp_0_100_2,are you suggesting that I fit this image of demon-fighter?!,[],"[[13.0, 9.0, 213.0, 122.0], [230.0, 6.0, 428.0, 89.0]]",[],"[[22.0, 139.0, 169.0, 321.0], [214.0, 93.0, 388.0, 261.0]]",YES-NO_QUESTION,0.5,0.4,"{""surprise"": 0.5481, ""neutral"": 0.1894, ""anger"": 0.1666, ""disgust"": 0.0721, ""fear"": 0.0104, ""sadness"": 0.0095, ""joy"": 0.004}",,"[{""text"": ""are"", ""pos"": ""AUX"", ""dep"": ""aux"", ""head"": ""suggesting""}, {""text"": ""you"", ""pos"": ""PRON"", ""dep"": ""nsubj"", ""head"": ""suggesting""}, {""text"": ""suggesting"", ""pos"": ""VERB"", ""dep"": ""ROOT"", ""head"": ""suggesting""}, {""text"": ""that"", ""pos"": ""SCONJ"", ""dep"": ""mark"", ""head"": ""fit""}, {""text"": ""I"", ""pos"": ""PRON"", ""dep"": ""nsubj"", ""head"": ""fit""}, {""text"": ""fit"", ""pos"": ""VERB"", ""dep"": ""ccomp"", ""head"": ""suggesting""}, {""text"": ""this"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""image""}, {""text"": ""image"", ""pos"": ""NOUN"", ""dep"": ""dobj"", ""head"": ""fit""}, {""text"": ""of"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head"": ""image""}, {""text"": ""demon"", ""pos"": ""NOUN"", ""dep"": ""compound"", ""head"": ""fighter""}, {""text"": ""-"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""fighter""}, {""text"": ""fighter"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""of""}, {""text"": ""?"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""suggesting""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""suggesting""}]",you + suggesting(active) + that I fit this image of demon - fighter,The speaker seems positive or satisfied with the situation.
bp_0_101_0,by the sacred panther fetish!,['suddenly...'],"[[112.0, 230.0, 208.0, 304.0], [624.0, 2.0, 816.0, 31.0], [778.0, 36.0, 885.0, 69.0]]","[[5.0, 4.0, 139.0, 31.0]]","[[0.0, 207.0, 106.0, 329.0], [344.0, 24.0, 439.0, 152.0], [779.0, 102.0, 837.0, 170.0]]",NOT_CLASSIFIABLE,0.0,0.0,"{""surprise"": 0.4601, ""anger"": 0.2273, ""disgust"": 0.15, ""neutral"": 0.1158, ""joy"": 0.0251, ""sadness"": 0.012, ""fear"": 0.0097}",,"[{""text"": ""by"", ""pos"": ""ADP"", ""dep"": ""ROOT"", ""head"": ""by""}, {""text"": ""the"", ""pos"": ""DET"", ""dep"": ""det"", ""head"": ""fetish""}, {""text"": ""sacred"", ""pos"": ""ADJ"", ""dep"": ""amod"", ""head"": ""fetish""}, {""text"": ""panther"", ""pos"": ""NOUN"", ""dep"": ""compound"", ""head"": ""fetish""}, {""text"": ""fetish"", ""pos"": ""NOUN"", ""dep"": ""pobj"", ""head"": ""by""}, {""text"": ""!"", ""pos"": ""PUNCT"", ""dep"": ""punct"", ""head"": ""by""}]",,The speaker might be upset or afraid because of what happened.
