id,hash_id,url,animals,consequences,climateaction,type,setting,source_file,premises,conclusions,notes,blip2_caption,split
0,06c3ab07ca5e6ace3ae3b24d3d2667c7aa1c4976f10a028d91ff6e1ffe973e47,https://pbs.twimg.com/media/ECvfjt_WwAINY01.jpg,Fish,Biodiversity loss,No climate action,Collage,"Ocean, coastal",climate_ct_new.json,"[""In 2009, the reef seems bright and colourful, with many fish and colourful corals."", ""In 2019, the same place seems pale and colourless, with no visible fish.""]","[""the marine environment deteriorated between 2009 and 2019.""]",,,
1,c8c303f108278b192ddd8c9e4f34114f887f3c01c9c85972d76a049d7b38bae7,https://pbs.twimg.com/media/Fi_DE_bX0AEEKpP.jpg,Fish,Drought,No climate action,Photo,Desert,climate_ct_new.json,"[""Many fish appear to be dead."", ""The ground is dry and arid, with no visible water around the fish.""]","[""The scene suggests drought or severe water scarcity may have affected the area.""]",,,
9,e6f7c105a8c70c7c1af678eb93471ed74ec9a7475cbf1ab057a6167d1b4dcf61,https://pbs.twimg.com/media/D6kHT2uXsAAUQ1Z.jpg,Polar bear,Melting Ice,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,"[""Two polar bears are standing together on a small piece of ice."", ""The small piece of ice is surrounded by a large amount of open water.""]","[""Climate change could have affected their icy habitat.""]",,,
5,6842b401a3a34307e2644656e5ae64520bbe4cbb008ca0a53b413c03630ccbd5,https://pbs.twimg.com/media/EhhUS_JVoAElufJ.jpg,No animals,Wildfires,No climate action,Photo,Residential/commercial,climate_ct_new.json,"[""The sky has an unusual orange/red colour that makes it look as though something may be burning nearby."", ""Dark smoke-like clouds appear to be coming from the area behind the city, near the hills/mountains.""]","[""A wildfire may be burning nearby and its smoke could be affecting the city.""]",,,
8,1ce41cdfffb87b9ab6c6845914d87dc1dedf2ea4ba460dee736813c163069b16,https://pbs.twimg.com/media/FfGqsH-XoAE_pei.jpg,Farm animals,Drought,No climate action,Photo,Desert,climate_ct_new.json,"[""The land looks extremely dry, sandy, and desert-like."", ""There is very little vegetation, and the surroundings appear dusty and barren.""]","[""The scene suggests that the area may be experiencing desertification.""]",,,
10,123b8e828bce741f9358fc2e19d5b6fc4da03e97d49362dcc3f20882c118d0e1,https://pbs.twimg.com/media/FjrvSItXgAEj_6Z.jpg,Polar bear,Biodiversity loss,Other,Illustration,"Arctic, Antarctic",climate_ct_new.json,"[""The young polar bear's family is relying partly on human household waste because there is not enough food for them."", ""Another polar bear is shown as malnourished and hungry, needing food from the young bear.""]","[""The lack of food may be making survival difficult for polar bears.""]",,,
11,161de9ea40293a986d4e54a5fc0adbe2025c6a549960dbec2404c188ecaf418e,https://pbs.twimg.com/media/E10GywNXsAIdGJ8.png,Polar bear,Melting Ice,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,"[""One polar bear is standing on a small, isolated piece of ice."", ""The ice is surrounded by a large area of open water.""]","[""Climate change could have affected the polar bear’s icy habitat.""]",,,
12,ee9cc0db402bd79ece569f513c29541b6697943abf5d548a54fb22a481b5bf5c,https://pbs.twimg.com/media/FlFPJGGWIAMtdkL.png,Polar bear,Biodiversity loss,No climate action,Illustration,"Arctic, Antarctic",climate_ct_new.json,"[""The polar bear is shown in an icy habitat that appears broken up, with large areas of water between the ice."", ""The poster says that animals are facing extinction.""]","[""Protecting their habitat is therefore important for their survival.""]",,,
13,f674f4ecdb84b922cd206a29effcd4f0cb1b8d6c2bc40dd11d353fe5aa34bb46,https://pbs.twimg.com/media/EvONFZtXUAEAxrp.jpg,Polar bear,Rising temperature,No climate action,Illustration,"Arctic, Antarctic",climate_ct_new.json,"[""A polar bear is lying on a small piece of ice surrounded by water."", ""The bear is illustrated to be suffering from unusually warm conditions.""]","[""Climate change may be threatening polar bears by melting their icy habitat.""]",,,
14,e672f743cd31d052fabe93be3663087591c513c5a72b02be0ae7ea55a9c37af9,https://pbs.twimg.com/media/EphjPdIWMAE1A2V.jpg,Polar bear,Melting Ice,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,"[""A polar bear is walking across fragmented pieces of sea ice."", ""Large areas of open water separate the remaining pieces of ice.""]","[""Climate change may be threatening polar bears by reducing or melting their icy habitat.""]",,,
