img_id,dialog,narration,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes
bp_0_0_0,['<INFORM perhaps queely fell easily to your blade-->'],"[""the black panther's superb agility keeps him alive until he's in position to counter-attack...""]","[[4.0, 107.0, 199.0, 160.0]]","[[2.0, 3.0, 251.0, 101.0]]","[[41.0, 176.0, 214.0, 315.0]]"
bp_0_0_3,['<INFORM -- but you will find the panther a most uncooperative target!>'],"['then, with cobra-speed, the black panther strikes back!']","[[6.0, 56.0, 277.0, 121.0]]","[[6.0, 6.0, 344.0, 51.0]]","[[83.0, 180.0, 200.0, 281.0]]"
bp_0_100_0,"['<INFORM i am honored by this gathering of royal panthers!> <INFORM destiny demands that one of you must take command of a dangerous situation!>', ""<INFORM i'm involved in high finance, n'gass!> <YES-NO_QUESTION can you possibly imagine me dashing about with spear and shield?>"", ""<INFORM i hear we've been summoned to deal with some provincial demon!>"", ""<FEEDBACK it's something like that!>"", '<FEEDBACK a local prankster, no doubt!>']",[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]"
bp_0_100_2,"[""<INFORM the demon is real indeed!> <INFORM and, in t'challa's absence, there must be a black panther at the helm in this crisis!>"", '<YES-NO_QUESTION are you suggesting that I fit this image of demon-fighter?!>']",[],"[[13.0, 9.0, 213.0, 122.0], [230.0, 6.0, 428.0, 89.0]]",[],"[[22.0, 139.0, 169.0, 321.0], [214.0, 93.0, 388.0, 261.0]]"
bp_0_101_0,"['<NOT_CLASSIFIABLE by the sacred panther fetish!>', '<GREET hail, cousin>', '<NOT_CLASSIFIABLE jakarra!>']",['suddenly...'],"[[112.0, 230.0, 208.0, 304.0], [624.0, 2.0, 816.0, 31.0], [778.0, 36.0, 885.0, 69.0]]","[[5.0, 4.0, 139.0, 31.0]]","[[0.0, 207.0, 106.0, 329.0], [344.0, 24.0, 439.0, 152.0], [779.0, 102.0, 837.0, 170.0]]"
bp_0_101_1,"[""<INFORM b-but this can't be jakarra --not this repellent creature!!>"", '<INFORM you see me as vibranium made me, zuni!>', ""<INFORM n'gassi told the truth! you won't stop him with band-aids, doctor!>""]",[],"[[5.0, 4.0, 126.0, 107.0], [140.0, 8.0, 252.0, 90.0], [59.0, 118.0, 224.0, 199.0]]",[],"[[23.0, 268.0, 68.0, 333.0], [260.0, 5.0, 435.0, 402.0], [97.0, 236.0, 141.0, 295.0]]"
bp_0_102_1,"[""<BACKCHANNEL wow...> <INFORM some smart alec is projecting hundred of images.> <INFORM my spider webs can't catch what's not real...> <WHY_QUESTION but how to tell which is the real villain?>""]",[],"[[6.0, 5.0, 460.0, 88.0]]",[],"[[118.0, 76.0, 157.0, 118.0]]"
bp_0_104_3,"[""<INFORM i'd still be airborne and in sight of wakanda territory if i hadn't chanced upon this spoiler!>"", '<INFORM he caused the wreck of my helicopter!*>']",['*last issue-- jack.'],"[[2.0, 6.0, 232.0, 98.0], [274.0, 12.0, 420.0, 117.0]]","[[117.0, 403.0, 342.0, 433.0]]","[[138.0, 147.0, 202.0, 229.0], [141.0, 148.0, 202.0, 227.0]]"
bp_0_105_1,"['<NOT_CLASSIFIABLE yet,> <WHY_QUESTION who will fight harder for his life than the wakandan warrior...though his body is taken from him cell by cell, his spirit yields no ground to the demons of darkness!>']",[],"[[27.0, 5.0, 420.0, 90.0]]",[],"[[114.0, 120.0, 254.0, 246.0]]"
bp_0_107_4,"[""<INFORM don't scoff at a clown until you catch his entire act!>"", ""<NOT_CLASSIFIABLE devious dog!> <COMMIT i'll crush you and that device to pulp!>""]",[],"[[3.0, 5.0, 160.0, 110.0], [196.0, 10.0, 432.0, 102.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [256.0, 200.0, 393.0, 304.0]]"
