id,hash_id,url,animals,consequences,climateaction,type,setting,source_file,premises,conclusions,notes,blip2_caption,split
0,06c3ab07ca5e6ace3ae3b24d3d2667c7aa1c4976f10a028d91ff6e1ffe973e47,https://pbs.twimg.com/media/ECvfjt_WwAINY01.jpg,Fish,Biodiversity loss,No climate action,Collage,"Ocean, coastal",climate_ct_new.json,[],[],,,
1,c8c303f108278b192ddd8c9e4f34114f887f3c01c9c85972d76a049d7b38bae7,https://pbs.twimg.com/media/Fi_DE_bX0AEEKpP.jpg,Fish,Drought,No climate action,Photo,Desert,climate_ct_new.json,[],[],,,
9,e6f7c105a8c70c7c1af678eb93471ed74ec9a7475cbf1ab057a6167d1b4dcf61,https://pbs.twimg.com/media/D6kHT2uXsAAUQ1Z.jpg,Polar bear,Melting Ice,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,,,,,
5,6842b401a3a34307e2644656e5ae64520bbe4cbb008ca0a53b413c03630ccbd5,https://pbs.twimg.com/media/EhhUS_JVoAElufJ.jpg,No animals,Wildfires,No climate action,Photo,Residential/commercial,climate_ct_new.json,,,,,
8,1ce41cdfffb87b9ab6c6845914d87dc1dedf2ea4ba460dee736813c163069b16,https://pbs.twimg.com/media/FfGqsH-XoAE_pei.jpg,Farm animals,Drought,No climate action,Photo,Desert,climate_ct_new.json,,,,,
10,123b8e828bce741f9358fc2e19d5b6fc4da03e97d49362dcc3f20882c118d0e1,https://pbs.twimg.com/media/FjrvSItXgAEj_6Z.jpg,Polar bear,Biodiversity loss,Other,Illustration,"Arctic, Antarctic",climate_ct_new.json,,,,,
11,161de9ea40293a986d4e54a5fc0adbe2025c6a549960dbec2404c188ecaf418e,https://pbs.twimg.com/media/E10GywNXsAIdGJ8.png,Polar bear,Melting Ice,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,,,,,
12,ee9cc0db402bd79ece569f513c29541b6697943abf5d548a54fb22a481b5bf5c,https://pbs.twimg.com/media/FlFPJGGWIAMtdkL.png,Polar bear,Biodiversity loss,No climate action,Illustration,"Arctic, Antarctic",climate_ct_new.json,,,,,
13,f674f4ecdb84b922cd206a29effcd4f0cb1b8d6c2bc40dd11d353fe5aa34bb46,https://pbs.twimg.com/media/EvONFZtXUAEAxrp.jpg,Polar bear,Rising temperature,No climate action,Illustration,"Arctic, Antarctic",climate_ct_new.json,,,,,
14,e672f743cd31d052fabe93be3663087591c513c5a72b02be0ae7ea55a9c37af9,https://pbs.twimg.com/media/EphjPdIWMAE1A2V.jpg,Polar bear,Melting Ice,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,,,,,
21,26dc699104c877e936de04ba3dcf1cf21b92f352f6547fc3f2eacbcb1aed89a1,https://pbs.twimg.com/media/EcQzZh7U4AA2D6h.jpg,No animals,Drought,No climate action,Photo,Desert,climate_ct_new.json,,,,,
