image_id,premise_hallucination_rate,premise_avg_severity,conclusion_hallucination_rate,conclusion_avg_severity,metadata_mismatch_rate
0,1.0,0.435,0.0,0.4836,0.275
1,1.0,0.6972,0.0,0.5198,0.15
10,1.0,0.6069,0.5,0.5775,0.25
11,0.75,0.5278,0.0,0.3412,0.15
12,1.0,0.5948,0.0,0.4919,0.35
13,0.6667,0.4986,0.0,0.344,0.15
14,0.0,0.3159,0.0,0.2899,0.15
16,1.0,0.8855,0.5,0.5021,0.1
2,0.5,0.4451,0.5,0.5473,0.1
21,1.0,0.5316,0.0,0.4552,0.1
23,0.0,0.3158,0.0,0.3815,0.15
24,1.0,0.5149,0.5,0.543,0.0
25,1.0,0.6955,1.0,0.6673,0.0
28,1.0,0.5589,0.0,0.4298,0.15
29,1.0,0.6217,1.0,0.6395,0.0
30,1.0,0.613,0.0,0.5333,0.2
31,1.0,0.5793,0.0,0.5059,0.1
32,1.0,0.7224,0.0,0.5324,0.0
34,1.0,0.5739,0.0,0.5121,0.0
36,0.0,0.0,1.0,0.6944,0.0
39,1.0,0.8123,1.0,0.6759,0.0
40,1.0,0.9332,1.0,0.5953,0.0
41,1.0,0.5011,0.0,0.3808,0.1
43,0.0,0.0,0.5,0.6653,0.0
45,0.6667,0.6329,1.0,0.6559,0.1
48,1.0,0.5794,1.0,0.5747,0.0
49,1.0,0.6448,1.0,0.5668,0.1
5,1.0,0.7503,1.0,0.6198,0.1
51,1.0,0.564,1.0,0.6525,0.0
52,1.0,0.5306,0.5,0.5311,0.1
54,1.0,0.6628,1.0,0.6688,0.1
55,0.5,0.4482,0.0,0.447,0.0
58,1.0,0.5792,0.0,0.5009,0.1
64,1.0,0.6558,1.0,0.6257,0.0
65,1.0,0.4456,0.0,0.4101,0.0
66,0.0,0.0,0.75,0.5922,0.1
67,1.0,0.6969,1.0,0.6884,0.0
68,1.0,0.6031,1.0,0.6014,0.1
69,1.0,0.5106,0.0,0.5404,0.0
70,1.0,0.5883,1.0,0.6249,0.0
71,1.0,0.7521,1.0,0.7935,0.0
72,1.0,0.5449,1.0,0.6187,0.1
73,1.0,0.6157,0.5,0.4985,0.15
75,1.0,0.5209,1.0,0.5665,0.1
76,0.75,0.6349,0.5,0.5384,0.15
77,1.0,0.6536,0.5,0.5218,0.0
78,1.0,0.5857,1.0,0.6531,0.0
79,1.0,0.7051,1.0,0.6505,0.0
8,0.6667,0.7265,0.5,0.5654,0.1
80,0.75,0.6353,0.0,0.3654,0.0
81,0.6667,0.5788,1.0,0.5722,0.2
84,1.0,0.6966,1.0,0.6454,0.0
85,1.0,0.6063,0.5,0.5227,0.1
86,0.6667,0.5185,0.0,0.2987,0.25
89,0.0,0.0,0.25,0.4636,0.15
9,0.6667,0.6283,0.0,0.3509,0.15
90,1.0,0.573,0.5,0.5168,0.2
91,1.0,0.7244,1.0,0.616,0.0
