id,hash_id,url,animals,consequences,climateaction,type,setting,source_file,premises,conclusions,notes,blip2_caption,split
0,06c3ab07ca5e6ace3ae3b24d3d2667c7aa1c4976f10a028d91ff6e1ffe973e47,https://pbs.twimg.com/media/ECvfjt_WwAINY01.jpg,Fish,Biodiversity loss,No climate action,Collage,"Ocean, coastal",climate_ct_new.json,"[""The Gran Barrera reef in 2009 was full of colorful corals and maritime life."", ""The Gran Barrera reef in 2019 is devoid of life with dead corals and hardly any maritime life.""]","[""Without climate action, many creatures might be extinct or lose their diversity."", ""Climate change is affecting the Gran Barrera reef."", ""Without climate action, maritime life will suffer.""]",,a picture of a coral reef and a picture of a coral reef,test
1,c8c303f108278b192ddd8c9e4f34114f887f3c01c9c85972d76a049d7b38bae7,https://pbs.twimg.com/media/Fi_DE_bX0AEEKpP.jpg,Fish,Drought,No climate action,Photo,Desert,climate_ct_new.json,"[""Dead fish on soil have dry skin.""]","[""Taking no action is the reason for the seas or lakes being dry."", ""Global warming puts aquatic animals' lives in danger."", ""Dried lakes cause the death of many aquatic animals.""]",,dead fish on the ground,train
9,e6f7c105a8c70c7c1af678eb93471ed74ec9a7475cbf1ab057a6167d1b4dcf61,https://pbs.twimg.com/media/D6kHT2uXsAAUQ1Z.jpg,Polar bear,Melting Ice,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,"[""Two polar bears are on a small piece of ice in the middle of the sea.""]","[""Polar bears are losing their habitats due to ice melting."", ""Polar bears are losing their habitats due to global warming.""]",,polar bear on iceberg,train
2,76a734f04bc51a08ccaa8b11d1b741fc9a8f4c7b7b2dc19fc406dc3c9b8bafeb,https://pbs.twimg.com/media/E4F-DcwVkA8KljQ.jpg,No animals,Economic consequences,No climate action,Posters/Event invitations,Industrial,climate_ct_new.json,"[""Climate change could cost the world economy $23 trillion by 2050."", ""There are some construction cranes next to the river."", ""Poor countries would be hit hardest by economic losses, and few would escape.""]","[""The economic impacts of climate change vary across countries."", ""The human right to good economic conditions may be violated because of the effects of climate change.""]",,climate economics - the world economy,test
5,6842b401a3a34307e2644656e5ae64520bbe4cbb008ca0a53b413c03630ccbd5,https://pbs.twimg.com/media/EhhUS_JVoAElufJ.jpg,No animals,Wildfires,No climate action,Photo,Residential/commercial,climate_ct_new.json,"[""Wildfires emit smoke and pollutants."", ""The air flows from wild to residential areas.""]","[""Wildfire can cause air pollution even in residential areas.""]",,san francisco skyline at dusk,train
8,1ce41cdfffb87b9ab6c6845914d87dc1dedf2ea4ba460dee736813c163069b16,https://pbs.twimg.com/media/FfGqsH-XoAE_pei.jpg,Farm animals,Drought,No climate action,Photo,Desert,climate_ct_new.json,"[""Two trees and a woman with a donkey are visible in the middle of a desert."", ""Due to the wind or storm, the woman’s dress and scarf cover her body and face.""]","[""Drought can harm the lives of humans and their domestic animals.""]",,a woman is walking a donkey in the desert,test
10,123b8e828bce741f9358fc2e19d5b6fc4da03e97d49362dcc3f20882c118d0e1,https://pbs.twimg.com/media/FjrvSItXgAEj_6Z.jpg,Polar bear,Biodiversity loss,Other,Illustration,"Arctic, Antarctic",climate_ct_new.json,"[""Polar bears have daily sarrows."", ""There isn't enough food for polar bears."", ""Polar bears' food includes human household waste."", ""Polar bears are thin."", ""There are some polar bears who are malnourished."", ""There are a lot of human waste on the beach.""]","[""Polar bears are going to be more malnourished because they don't have enough food and also their food contains household waste."", ""Polar bears might be sick or malnourished because of human activities.""]",,a page with different illustrations of polar bears,train
11,161de9ea40293a986d4e54a5fc0adbe2025c6a549960dbec2404c188ecaf418e,https://pbs.twimg.com/media/E10GywNXsAIdGJ8.png,Polar bear,Melting Ice,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,"[""A polar bear stand on a seperate piece of ice in the middle of sea."", ""There are no other ice mountains or pieces of ice around.""]","[""Polar bears are losing their habitats due to ice melting."", ""Polar bears are losing their habitats due to global warming.""]",,a polar bear standing on an ice floe in the ocean,train
12,ee9cc0db402bd79ece569f513c29541b6697943abf5d548a54fb22a481b5bf5c,https://pbs.twimg.com/media/FlFPJGGWIAMtdkL.png,Polar bear,Biodiversity loss,No climate action,Illustration,"Arctic, Antarctic",climate_ct_new.json,"[""A piece of ice is surrounded by water."", ""A polar bear stands on a piece of ice separated from the other pieces of ice.""]","[""Melting ice can cause extinction in animals like polar bears.""]",,day 3 of the polar bear extinction,train
13,f674f4ecdb84b922cd206a29effcd4f0cb1b8d6c2bc40dd11d353fe5aa34bb46,https://pbs.twimg.com/media/EvONFZtXUAEAxrp.jpg,Polar bear,Rising temperature,No climate action,Illustration,"Arctic, Antarctic",climate_ct_new.json,"[""The temperature is high for a polar bear."", ""A polar bear is dissatisfied with the temperature.""]","[""Global warming causes many species such as polar bears to suffer.""]",,polar bear on an iceberg with the words not cool,train
14,e672f743cd31d052fabe93be3663087591c513c5a72b02be0ae7ea55a9c37af9,https://pbs.twimg.com/media/EphjPdIWMAE1A2V.jpg,Polar bear,Melting Ice,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,"[""A polar bear is stuck on a piece of ice."", ""The polar bear is alone surrounded by many pieces of ice.""]","[""Polar bears are losing their habitats due to ice melting."", ""Polar bears might remain alone because of ice separation."", ""Global warming can cause mental issues in some animals.""]",,polar bears are a threat to the arctic,train
16,182f328b8701ddb3bb92ea01ef4399fdc6b3582760871a1cce6d940606a919b2,https://pbs.twimg.com/media/EiYphRXX0AA-91g.jpg,No animals,Economic consequences,No climate action,Posters/Event invitations,"Arctic, Antarctic",climate_ct_new.json,"[""There is a mountain of ice surrounded by water.""]","[""Global warming is a serious threat for the economy."", ""Slight changes in temperature can have huge effects.""]",,3 degrees warmer may mean a huge loss for economy,train
21,26dc699104c877e936de04ba3dcf1cf21b92f352f6547fc3f2eacbcb1aed89a1,https://pbs.twimg.com/media/EcQzZh7U4AA2D6h.jpg,No animals,Drought,No climate action,Photo,Desert,climate_ct_new.json,"[""There are only two trees in a large, dry area.""]","[""Trees and plants might be destroyed because of drought.""]",,"a green leaf in a dry, cracked area",test
23,b483f94eda40702a5246a166411a19e81b12a523207f6dcc83d1f5d3a1aba464,https://pbs.twimg.com/media/FYJ1YSVaIAArbZU.jpg,Polar bear,Biodiversity loss,No climate action,Data Visualization,"Arctic, Antarctic",climate_ct_new.json,"[""The global population of polar bears is estimated between 22–31k by the IUCN."", ""The IUCN status of the polar bear is vulnerable."", ""Population of polar bear is increasing around Kane Basin and McClintock Channel.""]","[""Melting ice is hurting polar bears and their population.""]",,polar bear population trend infographic,test
24,7e510a57e50a8ae5511fa00d0f8e90c9089992e159fb487cca084db42f94152b,https://pbs.twimg.com/media/EjM3127UYAAHgje.jpg,No animals,Rising temperature,Other,Photo,Residential/commercial,climate_ct_new.json,"[""The temperature is about 42 degrees Celsius."", ""A man seems to be angry.""]","[""Global warming increases the temperature even in residential places."", ""People might suffer from high temperature.""]",,a man wearing glasses is standing next to a thermometer,train
25,87292244665bc800d4f26c93a77b344ff6c4bd4f27cdfad49043e4fa0d516710,https://pbs.twimg.com/media/EMhv5qAWwAAJroN?format=jpg&name=small,No animals,Sea level rise,No climate action,Photo,Residential/commercial,climate_ct_new.json,"[""Santa stands in the middle of the water, surrounded by residential buildings."", ""The street is full of water and looks like a river.""]","[""Residential areas would be affected by a rise in sea level."", ""In the future, even on Christmas, Santa will come on a sunny warm day!""]",,a santa claus stands in a flooded city,train
28,e5f6a165a70382b0dfafdd3d22b1dea086dfe27a7b333755e8d6f3a25d64fd44,https://pbs.twimg.com/media/FRksVbEXMAEYlMg.jpg,Land mammal,Drought,No climate action,Photo,Desert,climate_ct_new.json,"[""There are a lot of dead animal bodies in a desert.""]","[""Many animals are suffering from drought and they will lose their lives.""]",,a group of dead cattle in the desert,train
29,fb0fb41bdf73ecda4c9e9b0022c20a965c67f65bdd8fa9e8d2aa05df16393da7,https://pbs.twimg.com/media/EhjkCa6WoAE-VDe.jpg,No animals,Wildfires,No climate action,Photo,Residential/commercial,climate_ct_new.json,"[""There are many buildings near the sea."", ""The sky is orange and blurry.""]","[""Many cities in the world are polluted, and this is a threat to the human right to life.""]",,san francisco skyline at sunset,train
30,f8f402a42f99e6ffa1c287655ff1aa8db6b583cb13abe12d9b639a43833c722f,https://pbs.twimg.com/media/EEFUos2U8AA9bqL.jpg,No animals,Floods,No climate action,Photo,"Ocean, coastal",climate_ct_new.json,"[""Many people are getting on a boat."", ""Half of a building is submerged in the water.""]","[""Floods can increase migration rates."", ""Floods might cause people to leave their homes and migrate."", ""Floods can ruin residential areas.""]",,a boat is anchored on the river bank,train
31,d2a3c8b31aec04396139f18827ae96b881cba5cc08f9fa1bd0062d3fa1e773e4,https://pbs.twimg.com/media/E2ZN2fUXIAMGGuy.jpg,No animals,Sea level rise,No climate action,Collage,"Ocean, coastal",climate_ct_new.json,"[""Santa Cruz Main Beach was a normal beach in summer 2019."", ""The sea level increases 2.4ft in Santa Cruz Main Beach after an ectreme storm.""]","[""Residential areas and cities might flood because of storms."", ""Sea level might increase because of storm.""]",,santa cruz beach and san diego bay area,train
32,6623a64240a50783244c6d8f978ee42820c35d035dc86c447e229debb148d929,https://pbs.twimg.com/media/Fi_DFPpXkAYWVUT.jpg,No animals,Drought,No climate action,Photo,Industrial,climate_ct_new.json,"[""There is a car tire in a dried river."", ""The river under the bridge is completely dry.""]","[""Cities might lose their beauty because nature and rivers are destroyed."", ""People might throw their trash in large dry areas and harm the environment even more than before.""]",,a bridge over a river with a lot of trash,train
34,8ff33afaa22c2cf021046fc5bfa62967570e873953eda7b9fd2cde2a0ec22df6,https://pbs.twimg.com/media/D8OT0mGV4AAcIUb?format=jpg&name=small,No animals,Sea level rise,No climate action,Photo,Residential/commercial,climate_ct_new.json,"[""There are many skyscrapers in the middle of the sea.""]","[""Due to sea level rise, even tall buildings might be submerged."", ""Due to sea level rise residential areas might be submerged.""]",,a city is floating in the water,train
36,9eca352ae6aeb75c95b513dd07a131fc00fcdb9b98b2784972a04547f85f2b1a,https://pbs.twimg.com/media/EE28LCKWkAA_K1t.jpg,No animals,Sea level rise,No climate action,Photo,"Ocean, coastal",climate_ct_new.json,"[""There are many multi-story residential buildings near the water."", ""People are standing on damaged coastal infrastructure."", ""There are some waves in the water.""]","[""People might lose their houses because of the sea level rise.""]",,people standing on a pier near the ocean,train
39,3a22137ecdd1d2e3118bf4c62d3a296e5bfa0c5908de7e1c28be147a5d822600,https://pbs.twimg.com/media/FQTlPbbXIAQonSR.jpg,No animals,Human rights,No climate action,Posters/Event invitations,"Forest, jungle",climate_ct_new.json,"[""There is a report about climate change as a human rights issue in the 2021 Annual Report to Parliament."", ""A tree in a forest is burning.""]","[""The human right to life is in danger because of climate change."", ""Wildfires can violate the right to life.""]",,climate change and human rights,train
