img_id,dialog,narration,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes
0_19_3,"['<INFORM the chief mentioned that the place was deserted, but that doesnt seem to be the case!>', '<INFORM maybe she thinks its a hotel or something!\t>']",[],"[[2.0, 19.0, 278.0, 144.0], [256.0, 19.0, 519.0, 110.0]]",[],"[[119.0, 237.0, 208.0, 355.0], [194.0, 406.0, 279.0, 505.0]]"
0_21_4,['<INFORM disappoint you!> <INFORM but id probably give you\tindigestion!>'],[],"[[7.0, 0.0, 201.0, 127.0]]",[],"[[124.0, 284.0, 175.0, 320.0]]"
0_27_5,"['<INFORM thats just what i was going to ask you!> <WHY_QUESTION wh where did you get this ?> <WHY_QUESTION wh who are you ?>', '<INFORM billions is the name!><INFORM  joshua t. billions!> <INFORM this is just part of a treasure i buried on amos island back in my seafaring days!>']",[],"[[16.0, 1.0, 291.0, 133.0], [268.0, 2.0, 591.0, 164.0]]",[],"[[256.0, 284.0, 364.0, 408.0], [480.0, 225.0, 563.0, 346.0]]"
0_35_4,"[""<INFORM i'm afraid they're gone for good!>"", ""<ORDER don't give up so easily, sir!> <INFORM you've got woozy winks, one-man bureau of missing persons at your service!>""]",[],"[[66.0, 14.0, 274.0, 107.0], [207.0, 14.0, 483.0, 181.0]]",[],"[[134.0, 159.0, 229.0, 286.0], [270.0, 205.0, 386.0, 351.0]]"
0_6_5,"['<ORDER hey let go of me!><WHY_QUESTION  who do you think you are ?> <OR_QUESTION a helicopter or something ?>', ""<INFORM all of a sudden i ' m getting a very terrific idea!>""]",[],"[[1.0, 0.0, 279.0, 103.0], [302.0, 3.0, 568.0, 82.0]]",[],"[[315.0, 185.0, 365.0, 242.0], [331.0, 110.0, 379.0, 170.0]]"
1000_16_4,"['<BACKCHANNEL gosh!> <INFORM guess i tried to civilize these peo a little too fast!><INFORM  and now i have to act un-civilized in self defense!>', '<ORDER get the runt!\t>', ""<ORDER let me at 'im\t! >""]",[],"[[21.0, 3.0, 359.0, 171.0], [438.0, 10.0, 564.0, 73.0], [570.0, 4.0, 700.0, 77.0]]",[],"[[215.0, 255.0, 323.0, 366.0], [410.0, 237.0, 443.0, 282.0], [546.0, 220.0, 591.0, 266.0]]"
1000_17_2,"[""<INFORM i won ' t waste another minute\t!>""]",['women your city is in the grip of a crime wave! volunteer for police duty!'],"[[0.0, 12.0, 209.0, 112.0]]","[[39.0, 166.0, 245.0, 349.0]]","[[-1.0, -1.0, -1.0, -1.0]]"
1000_3_3,"[""<BACKCHANNEL ho - hum!><FEEDBACK  darrel was right this is dull and stuffy .'>""]","['that night, at the concert']","[[130.0, 39.0, 388.0, 156.0]]","[[135.0, 0.0, 518.0, 47.0]]","[[90.0, 399.0, 130.0, 472.0]]"
1000_4_6,"[""<INFORM that ' s just the begin - ning!> <INFORM ive even bigger jobs planned!><BACKCHANNEL  ha ha!> <INFORM well make the police dance to the minstrel ' s tunes!>""]",[],"[[33.0, 0.0, 310.0, 176.0]]",[],"[[71.0, 214.0, 245.0, 468.0]]"
1000_5_1,['<YES-NO_QUESTION cant you imagine beethoven sitting alone in his study ?> <INFORM suddenly inspiration seizes him!><INFORM  he starts writing down these immortal notes and>'],['plink - a plunk! plunk - a - pling! an'],"[[0.0, 9.0, 430.0, 153.0]]","[[279.0, 134.0, 503.0, 313.0]]","[[234.0, 364.0, 354.0, 516.0]]"
1000_7_4,['<INFORM a magnesium flare!> <BACKCHANNEL ohhh!>'],"[""as the string is plucked, the minstrel's banjo discharges a smal capsule that explodes into blinding brilliance...""]","[[287.0, 106.0, 504.0, 178.0]]","[[15.0, 3.0, 570.0, 108.0]]","[[277.0, 196.0, 363.0, 284.0]]"
1001_21_4,"['<ORDER keep in line and sink your calks deep, men!> <INFORM any who fall out will be left behind!><BACKCHANNEL  now .. excelsior!>']",[],"[[115.0, 13.0, 737.0, 148.0]]",[],"[[514.0, 170.0, 566.0, 225.0]]"
1003_12_2,"['<INFORM you said it would be suicide but he made it!>', '<INFORM that dog risked his own life to save him!> <INFORM gosh that was exciting to watch i almost forgot all about the race!> <WHY_QUESTION whos leading ?>']",[],"[[17.0, 6.0, 244.0, 89.0], [216.0, 1.0, 521.0, 160.0]]",[],"[[377.0, 276.0, 390.0, 290.0], [410.0, 262.0, 424.0, 277.0]]"
1003_33_2,"['<INFORM it is your loveliness that jeb rivers remembered when he scorned me!> <INFORM ill avenge myself on both of you!>', '<ORDER  later, rala!> <INFORM before we attack the boat, usher these guests into our dwelling!>']",[],"[[0.0, 0.0, 265.0, 147.0], [239.0, 1.0, 542.0, 131.0]]",[],"[[91.0, 234.0, 127.0, 299.0], [153.0, 249.0, 212.0, 311.0]]"
1003_9_4,"['<INFORM now the problem is to see and not be seen!>', '<INFORM "" swing low "" still holds the lead!> <INFORM "" carry me home "" is coming up behind him!> <INFORM but the number one favorite "" sweet chariot "", seems t to be lagging!>']",[],"[[2.0, 6.0, 137.0, 131.0], [109.0, 14.0, 361.0, 218.0]]",[],"[[222.0, 253.0, 254.0, 292.0], [-1.0, -1.0, -1.0, -1.0]]"
1004_29_6,"[""<INFORM some men are approaching!> <INFORM i ' ll alert the others in case there is trouble!>""]",[],"[[17.0, 11.0, 375.0, 83.0]]",[],"[[351.0, 143.0, 399.0, 339.0]]"
1004_31_3,"[""<INFORM coming to a stop now!><INFORM  and there ' s that gang just waiting to take over this train!><INFORM we ve got to make it as tough for them as possible!>""]",[],"[[9.0, 0.0, 364.0, 93.0]]",[],"[[121.0, 248.0, 239.0, 379.0]]"
1004_7_6,"[""<INFORM there ' s the valise skull!><BACKCHANNEL  ghh ha!>"", ""<INFORM and here ' s something goes with it, my fist!>""]","['1nstants later, darrel dane becomes the doll manf']","[[16.0, 42.0, 191.0, 118.0], [178.0, 38.0, 316.0, 129.0]]","[[19.0, 3.0, 320.0, 49.0]]","[[135.0, 224.0, 179.0, 269.0], [165.0, 293.0, 183.0, 308.0]]"
1005_19_2,"[""<INFORM too late he ' s already gone!>"", '<INFORM i - i almost hate to look doll man\t!>']",[],"[[20.0, 1.0, 152.0, 34.0], [148.0, 0.0, 287.0, 42.0]]",[],"[[113.0, 104.0, 130.0, 120.0], [225.0, 128.0, 231.0, 140.0]]"
1005_26_6,"[""<INFORM eben slade is a peculiar old man, darrel!> <INFORM i have a feeling a he doesn ' t really like anybody!>"", '<INFORM this whole set - up is peculiar martha\t!>']",[],"[[11.0, 3.0, 135.0, 105.0], [133.0, 8.0, 230.0, 68.0]]",[],"[[80.0, 131.0, 101.0, 156.0], [134.0, 109.0, 159.0, 137.0]]"
1006_36_4,['<INFORM this better be good!>'],[],"[[320.0, 382.0, 449.0, 532.0]]",[],"[[60.0, 250.0, 97.0, 280.0]]"
1007_10_3,"['<BACKCHANNEL wha ...???>', '<INFORM  right into my trap, small fool!>']",[],"[[32.0, 42.0, 189.0, 150.0], [959.0, 133.0, 1138.0, 310.0]]",[],"[[255.0, 149.0, 315.0, 182.0], [-1.0, -1.0, -1.0, -1.0]]"
1007_37_2,"[""<INFORM id hate to see ted in trouble!><COMMIT  i ' ll go down and have a talk with him at the sport club!>"", ""<THANK oh, if you would, i ' d be so grateful!><INFORM  he never used to go out at night!>""]",[],"[[14.0, 1.0, 292.0, 156.0], [308.0, 3.0, 499.0, 175.0]]",[],"[[183.0, 145.0, 211.0, 179.0], [257.0, 170.0, 284.0, 194.0]]"
1008_17_4,"['<BACKCHANNEL heh - heh!><INFORM  those magnesium flares are brighter than the noonday sun! wed be blinded, too, with out these dark glasses!>', '<BACKCHANNEL ohhh!>']",[],"[[14.0, 14.0, 537.0, 98.0], [2.0, 167.0, 158.0, 254.0]]",[],"[[333.0, 356.0, 363.0, 387.0], [18.0, 365.0, 42.0, 380.0]]"
1008_21_1,"[""<INFORM but you ' ll really need something like witchcraft to save you now\t!>"", '<INFORM i came prepared for trouble!> <INFORM in olden days witches were served by evil spirits that took the form of bats>']",[],"[[0.0, 24.0, 263.0, 169.0], [245.0, 23.0, 608.0, 192.0]]",[],"[[274.0, 372.0, 295.0, 388.0], [413.0, 310.0, 464.0, 395.0]]"
1008_21_2,['<INFORM you must be batty ... if you put your faith in that rubbish!><INFORM  and that whistle doesnt even make a noise\t!>'],[],"[[216.0, 27.0, 589.0, 208.0]]",[],"[[393.0, 390.0, 416.0, 420.0]]"
1008_4_3,"['<BACKCHANNEL oooh!>', ""<INFORM this'll teach you not to go snoopin' around, pal!>""]",[],"[[2.0, 21.0, 154.0, 104.0], [151.0, 22.0, 483.0, 97.0]]",[],"[[169.0, 294.0, 285.0, 432.0], [331.0, 87.0, 429.0, 218.0]]"
1009_14_1,"[""<INFORM  a toy plane!> <INFORM it's trying to kill me!\t>"", '<BACKCHANNEL  ha, ha, ha!>']",[],"[[28.0, 0.0, 263.0, 92.0], [298.0, 1.0, 486.0, 59.0]]",[],"[[236.0, 189.0, 307.0, 251.0], [354.0, 80.0, 401.0, 136.0]]"
1009_18_5,"[""<NOT_CLASSIFIABLE you old fool!> <WHY_QUESTION why didn ' t you teli me the whole truth ?> <INFORM id rather be dead than have a face like this\t!>"", ""<INFORM you ' re. choking me>""]",[],"[[8.0, 12.0, 246.0, 203.0], [437.0, 216.0, 537.0, 396.0]]",[],"[[408.0, 19.0, 500.0, 134.0], [-1.0, -1.0, -1.0, -1, 0]]"
