dialog,narration,img_id,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes
"[""perhaps queely fell easily to your blade--""]","[""the black panther's superb agility keeps him alive until he's in position to counter-attack...""]",bp_0_0_0,"[[4.0, 107.0, 199.0, 160.0]]","[[2.0, 3.0, 251.0, 101.0]]","[[41.0, 176.0, 214.0, 315.0]]"
"[""-- but you will find the panther a most uncooperative target!""]","['then, with cobra-speed, the black panther strikes back!']",bp_0_0_3,"[[6.0, 56.0, 277.0, 121.0]]","[[6.0, 6.0, 344.0, 51.0]]","[[83.0, 180.0, 200.0, 281.0]]"
"[""i am honored by this gathering of royal panthers! destiny demands that one of you must take command of a dangerous situation!"", ""i'm involved in high finance, n'gass! can you possibly imagine me dashing about with spear and shield?"", ""i hear we've been summoned to deal with some provincial demon!"", ""it's something like that!"", ""a local prankster, no doubt!""]",[],bp_0_100_0,"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]"
"[""the demon is real indeed! and, in t'challa's absence, there must be a black panther at the helm in this crisis!"", ""are you suggesting that I fit this image of demon-fighter?!""]",[],bp_0_100_2,"[[13.0, 9.0, 213.0, 122.0], [230.0, 6.0, 428.0, 89.0]]",[],"[[22.0, 139.0, 169.0, 321.0], [214.0, 93.0, 388.0, 261.0]]"
"[""by the sacred panther fetish!"", ""hail, cousin"", ""jakarra!""]",['suddenly...'],bp_0_101_0,"[[112.0, 230.0, 208.0, 304.0], [624.0, 2.0, 816.0, 31.0], [778.0, 36.0, 885.0, 69.0]]","[[5.0, 4.0, 139.0, 31.0]]","[[0.0, 207.0, 106.0, 329.0], [344.0, 24.0, 439.0, 152.0], [779.0, 102.0, 837.0, 170.0]]"
"[""b-but this can't be jakarra --not this repellent creature!!"", ""you see me as vibranium made me, zuni!"", ""n'gassi told the truth! you won't stop him with band-aids, doctor!""]",[],bp_0_101_1,"[[5.0, 4.0, 126.0, 107.0], [140.0, 8.0, 252.0, 90.0], [59.0, 118.0, 224.0, 199.0]]",[],"[[23.0, 268.0, 68.0, 333.0], [260.0, 5.0, 435.0, 402.0], [97.0, 236.0, 141.0, 295.0]]"
"[""wow... some smart alec is projecting hundred of images. my spider webs can't catch what's not real... but how to tell which is the real villain?""]",[],bp_0_102_1,"[[6.0, 5.0, 460.0, 88.0]]",[],"[[118.0, 76.0, 157.0, 118.0]]"
"[""i'd still be airborne and in sight of wakanda territory if i hadn't chanced upon this spoiler!"", ""he caused the wreck of my helicopter!*""]",['*last issue-- jack.'],bp_0_104_3,"[[2.0, 6.0, 232.0, 98.0], [274.0, 12.0, 420.0, 117.0]]","[[117.0, 403.0, 342.0, 433.0]]","[[138.0, 147.0, 202.0, 229.0], [141.0, 148.0, 202.0, 227.0]]"
"[""yet, who will fight harder for his life than the wakandan warrior...though his body is taken from him cell by cell, his spirit yields no ground to the demons of darkness!""]",[],bp_0_105_1,"[[27.0, 5.0, 420.0, 90.0]]",[],"[[114.0, 120.0, 254.0, 246.0]]"
"[""don't scoff at a clown until you catch his entire act!"", ""devious dog! i'll crush you and that device to pulp!""]",[],bp_0_107_4,"[[3.0, 5.0, 160.0, 110.0], [196.0, 10.0, 432.0, 102.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [256.0, 200.0, 393.0, 304.0]]"
"[""death will be swift, zuni! that disguise can neither hide you nor spare you!"", ""keep him at bay, cousin! i'm almost ready!"", ""that's small comfort, dolt! he's tearing my arms off!""]",[],bp_0_108_3,"[[5.0, 3.0, 154.0, 107.0], [174.0, 2.0, 294.0, 88.0], [299.0, 1.0, 429.0, 93.0]]",[],"[[24.0, 107.0, 107.0, 187.0], [214.0, 85.0, 269.0, 143.0], [333.0, 80.0, 419.0, 147.0]]"
"[""joshua itobo, are you injured?"", ""it seems impossible that any of us should have survived!""]",['a moment of stunned silence follows the fading echoes of violence...'],bp_0_109_4,"[[9.0, 51.0, 193.0, 94.0], [206.0, 52.0, 418.0, 123.0]]","[[3.0, 7.0, 433.0, 45.0]]","[[-1.0, -1.0, -1.0, -1.0], [358.0, 112.0, 435.0, 208.0]]"
"[""but we did!your plan was perfection itself!"", ""it was an act of madness, carried out by four unfit for battle!"", ""you mean four of will and courage!""]",[],bp_0_109_5,"[[2.0, 7.0, 153.0, 78.0], [171.0, 8.0, 309.0, 127.0], [318.0, 19.0, 432.0, 98.0]]",[],"[[62.0, 83.0, 128.0, 144.0], [154.0, 113.0, 212.0, 186.0], [354.0, 108.0, 415.0, 169.0]]"
"[""he can't keep his eye on all off us!!pick him off with a careful shot!!"", ""he moves like a jungle cat, highness, but i'll do my best!""]",[],bp_0_10_5,"[[3.0, 2.0, 226.0, 88.0], [254.0, 4.0, 449.0, 84.0]]",[],"[[31.0, 145.0, 182.0, 347.0], [233.0, 115.0, 433.0, 270.0]]"
"[""i don't know what possessed me to call upon the ruling family in this crisis! look at these expenditures! costumes-- smoke guns-- chemicals-- adhesive--"", ""they've been very secretive these past days.""]","[""meanwhile, in the administrative office of n'gassi, who governs in t'challa's absence...""]",bp_0_110_0,"[[5.0, 70.0, 234.0, 260.0], [263.0, 51.0, 430.0, 111.0]]","[[3.0, 5.0, 433.0, 67.0]]","[[194.0, 129.0, 236.0, 178.0], [369.0, 105.0, 419.0, 158.0]]"
"[""how i wish for his swift return!"", ""there has been fighting in the streets! perhaps the militia has finally finished jakarra!"", ""we'd have had the news at this hour, noble one...""]",[],bp_0_110_4,"[[9.0, 3.0, 187.0, 43.0], [13.0, 59.0, 189.0, 151.0], [243.0, 5.0, 363.0, 85.0]]",[],"[[260.0, 163.0, 321.0, 225.0], [259.0, 162.0, 319.0, 218.0], [348.0, 83.0, 386.0, 139.0]]"
"[""wrong, n'gassi! your unlikely candidates for t'challa's job have done his work!"", ""we are proud to say that the task was accomplished with high risk and minimal injury."", ""joshus itobo refers to my backside... it's really too well padded to suffer badly in a fall!"", ""in short, you old leopard.. we've brought in jakarra! and put an end to his rampage!""]",[],bp_0_111_0,"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]"
"[""behold, wise one! the riddle of jakarra is now ours to solve without danger to others!"", ""there's only one way to solve this! he must be destroyed at once--!""]",[],bp_0_111_3,"[[0.0, 2.0, 203.0, 104.0], [241.0, 11.0, 428.0, 89.0]]",[],"[[92.0, 167.0, 157.0, 240.0], [249.0, 133.0, 349.0, 222.0]]"
"[""it's the rulling family--!"", ""optimists! they greet the panther in triumph not yet achieved!""]",['suddenly upon entering...'],bp_0_111_4,"[[10.0, 61.0, 107.0, 123.0], [283.0, 4.0, 415.0, 110.0]]","[[3.0, 2.0, 164.0, 41.0]]","[[5.0, 144.0, 79.0, 361.0], [295.0, 238.0, 428.0, 430.0]]"
