id,url,label_animals,label_setting,label_consequences,label_climateaction,label_type
11,https://pbs.twimg.com/media/EDWwZk7UEAAUhnc.jpg,Fish,Agricultural/rural,other consequences,,
37,https://pbs.twimg.com/media/EDcMkGaUUAIV_xt.jpg,Fish,,biodiversity loss,,
40,https://pbs.twimg.com/media/EDbJzRsVUAE5HL3.jpg,Fish,,drought,,
58,https://pbs.twimg.com/media/EDhkH2sXUAAUnoY.jpg,Fish,Other nature,covid & general health,,
74,https://pbs.twimg.com/media/EDoQ5XOWkAA6h0e.jpg,Fish,Residential/commercial,other consequences,Politics,
76,https://pbs.twimg.com/media/EDoQVo_XsAADH73.jpg,Fish,,other consequences,,
93,https://pbs.twimg.com/media/EDs6YotX4AAKQYx.jpg,Other animals,"Forest, jungle",biodiversity loss,,
96,https://pbs.twimg.com/media/EDtNCyeXYAAssHn.jpg,Fish,,biodiversity loss,,
107,https://pbs.twimg.com/media/EDsQspPXUAAUgKv.jpg,Other animals,,covid & general health,,
111,https://pbs.twimg.com/media/EDyi8VIWsAIWiyU.jpg,Other animals,Desert,covid & general health,,
112,https://pbs.twimg.com/media/EDy3io6XsAASVdX.jpg,Fish,,biodiversity loss,,
115,https://pbs.twimg.com/media/EDyVUcXXsAA7lwk.jpg,Fish,Residential/commercial,other consequences,Politics,
116,https://pbs.twimg.com/media/EDyTRz6X4AYHNJ3.jpg,Fish,,other consequences,,
117,https://pbs.twimg.com/media/EDx8pKsXYAEhMdb.jpg,Fish,,drought,,
149,https://pbs.twimg.com/media/ED6U92AWsAArhmm.jpg,Fish,,drought,,
163,https://pbs.twimg.com/media/EEBQ_lQWsAE5kjL.jpg,Other animals,Agricultural/rural,drought,,
175,https://pbs.twimg.com/media/EEID3lwVUAEtIwX.jpg,Fish,"Ocean, coastal",other consequences,,
191,https://pbs.twimg.com/media/EEOFTykU4AE3zhY.jpg,Fish,,human rights,,
196,https://pbs.twimg.com/media/EEMtI7LWkAEhfdK.jpg,Other animals,Other nature,biodiversity loss,Politics,
202,https://pbs.twimg.com/media/EELrMIZXYAQ_iK-.jpg,Fish,"Forest, jungle",drought,,
220,https://pbs.twimg.com/media/EERqcunWsAEX9hA.jpg,Fish,Other nature,biodiversity loss,,
225,https://pbs.twimg.com/media/EERBCn9XsAM3wFN.jpg,Fish,"Forest, jungle",biodiversity loss,,
226,https://pbs.twimg.com/media/EERAxBuWsAAfQni.jpg,Fish,"Forest, jungle",biodiversity loss,,
228,https://pbs.twimg.com/media/EEQ6axEW4AInhCL.jpg,Other animals,Other nature,other consequences,,
229,https://pbs.twimg.com/media/EEQurnQWkAM3pHy.jpg,Other animals,,covid & general health,,
239,https://pbs.twimg.com/media/EEYFxi2XUAAtNwj.jpg,Fish,,drought,,
244,https://pbs.twimg.com/media/EEV4CCLXsAAdzRt.jpg,Amphibian or Reptile,,biodiversity loss,,
264,https://pbs.twimg.com/media/EEall-RX4AIg_Qv.jpg,Other animals,,human rights,,
284,https://pbs.twimg.com/media/EEndD-dWsAwssww.png,Fish,,human rights,,
299,https://pbs.twimg.com/media/EElOYb4XYAAmj7Z.jpg,Fish,,drought,,
305,https://pbs.twimg.com/media/EEsJuwkX4AEwDm_.jpg,Fish,,drought,,
306,https://pbs.twimg.com/media/EEsIMxJXUAI2QDI.jpg,Other animals,,drought,,
315,https://pbs.twimg.com/media/EErHQwvXoAALvpp.jpg,Polar bear,"Ocean, coastal",melting ice,,
322,https://pbs.twimg.com/media/EEqAjTxWsAAGSM6.jpg,Other animals,Outer space,other consequences,,
329,https://pbs.twimg.com/media/EExGHg2WsAAEQeW.jpg,Fish,,drought,,
343,https://pbs.twimg.com/media/EEwOwJrWwAYZOxR.jpg,Other animals,,covid & general health,,
346,https://pbs.twimg.com/media/EEwA1-PWsAA3gR2.jpg,Birds,,other consequences,,
350,https://pbs.twimg.com/media/EEvkOXNXkAAfUoA.jpg,Other animals,,other consequences,,
354,https://pbs.twimg.com/media/EE2YdrHUEAAgTFI.jpg,Birds,,biodiversity loss,Sustainable energy,
363,https://pbs.twimg.com/media/EE1UYxyXoAQ9MGv.jpg,Fish,,melting ice,,
376,https://pbs.twimg.com/media/EFAdzHmWsAMmKse.jpg,Other animals,,drought,Sustainable energy,
377,https://pbs.twimg.com/media/EFAd0yHXYAEkyi7.jpg,Other animals,,other consequences,,
382,https://pbs.twimg.com/media/EE_ybNGXkAI6vLO.jpg,Insects,,biodiversity loss,,
383,https://pbs.twimg.com/media/EE_xh78X4AMhg9Y.jpg,Insects,,biodiversity loss,,
384,https://pbs.twimg.com/media/EE_wIL3XoAAdIXC.jpg,Insects,,biodiversity loss,,
385,https://pbs.twimg.com/media/EE_vf4MWkAAKj7R.jpg,Insects,,biodiversity loss,,
