id,url,label_animals,label_climateaction,label_consequences,label_setting,label_type
1,https://pbs.twimg.com/media/ECvfjt_WwAINY01.jpg,Fish,No climate action,Biodiversity loss,"Ocean, coastal",Collage
2,https://pbs.twimg.com/media/FiO9Hf1X0AIDfPC.jpg,Fish,No climate action,No consequences,No setting,Illustration
3,https://pbs.twimg.com/media/FJ3ygE8XoAM7vMw.jpg,Fish,No climate action,Other consequences,Other setting,Infographic
4,https://pbs.twimg.com/media/EZfD97DU0AARXvL.jpg,Fish,Other,No consequences,"Ocean, coastal",Photo
5,https://pbs.twimg.com/media/EZfD97DUEAA57kG.jpg,Fish,Other,No consequences,"Ocean, coastal",Photo
6,https://pbs.twimg.com/media/FiLj2hlWQAImoWi.jpg,Fish,No climate action,No consequences,"Ocean, coastal",Screenshot
7,https://pbs.twimg.com/media/FdrdCcKagAExQst.jpg,Fish,No climate action,No consequences,Other setting,Photo
8,https://pbs.twimg.com/media/EwHR1IRUYAAY2X3.jpg,Fish,No climate action,No consequences,"Ocean, coastal",Photo
9,https://pbs.twimg.com/media/EX51QKsXgAghlrr.jpg,Fish,No climate action,No consequences,Other setting,Photo
10,https://pbs.twimg.com/media/Fi_DE_bX0AEEKpP.jpg,Fish,No climate action,Drought,Desert,Photo
11,https://pbs.twimg.com/media/FhiunNIXEAEmia6.jpg,Fish,No climate action,No consequences,Other setting,Photo
12,https://pbs.twimg.com/media/EgeN6ApWsAI8pDI.jpg,Fish,No climate action,No consequences,Other setting,Photo
13,https://pbs.twimg.com/media/D60R8YwVUAEU0YU.jpg,Fish,Other,Biodiversity loss,"Ocean, coastal",Photo
14,https://pbs.twimg.com/media/FXzRUuRVsAImGdi.jpg,Fish,No climate action,No consequences,Other nature,Photo
15,https://pbs.twimg.com/media/FWUYZCFXwAEaG7j.jpg,Fish,No climate action,Other consequences,"Ocean, coastal",Screenshot
16,https://pbs.twimg.com/media/FPCv6vnWQAM97QN.png,Birds,No climate action,No consequences,Other nature,Photo
17,https://pbs.twimg.com/media/E6WOMUpXMAAsi39.jpg,Birds,No climate action,Biodiversity loss,Other nature,Photo
18,https://pbs.twimg.com/media/E6WOOblWYAQJONq.jpg,Birds,No climate action,Biodiversity loss,Other nature,Photo
19,https://pbs.twimg.com/media/FW_aVpNXkAAEvXW.png,Birds,No climate action,No consequences,Other nature,Illustration
20,https://pbs.twimg.com/media/FKqpMJcXMAY8IvJ.jpg,Birds,No climate action,No consequences,Other nature,Photo
21,https://pbs.twimg.com/media/FTiXH-hWAAEOidA.jpg,Birds,No climate action,No consequences,Other nature,Illustration
22,https://pbs.twimg.com/media/FKS5PkDWQAA9_R7.jpg,Birds,Politics,No consequences,Other nature,Posters/Event invitations
23,https://pbs.twimg.com/media/FA-7BzfUUAUZ6h3.jpg,Birds,No climate action,Biodiversity loss,"Ocean, coastal",Photo
24,https://pbs.twimg.com/media/EuQZb5xWQAIpd36.jpg,Birds,No climate action,No consequences,No setting,Illustration
25,https://pbs.twimg.com/media/FStmUuZX0AE9FIC.jpg,Birds,No climate action,No consequences,Residential/commercial,Photo
26,https://pbs.twimg.com/media/E6WOY2XXsAcuQkG.jpg,Birds,No climate action,Biodiversity loss,Other nature,Photo
27,https://pbs.twimg.com/media/EZfEGGuUYAAA3Ju.jpg,Birds,Other,No consequences,"Forest, jungle",Photo
28,https://pbs.twimg.com/media/EHYXCQHU8AAgk5z.jpg,Birds,No climate action,No consequences,No setting,Photo
29,https://pbs.twimg.com/media/FZuQWgWXEAIbnK7.jpg,Birds,No climate action,No consequences,Desert,Photo
30,https://pbs.twimg.com/media/FTg4wl7WQAsXCBJ.jpg,Birds,No climate action,No consequences,Other nature,Photo
31,https://pbs.twimg.com/media/FVMZxbcWYAAkHIz.jpg,Birds,No climate action,No consequences,No setting,Posters/Event invitations
