image_id,model,timestamp,conclusion_index,conclusion_text,num_premises,premise_count_used,agg_entailment,agg_neutral,agg_contradiction,agg_predicted_label,nli_confidence,max_entailment,max_contradiction,support_ratio,contradiction_ratio,premise_0_contradiction,premise_0_entailment,premise_0_label,premise_0_neutral,premise_1_contradiction,premise_1_entailment,premise_1_label,premise_1_neutral,premise_2_contradiction,premise_2_entailment,premise_2_label,premise_2_neutral,premise_3_contradiction,premise_3_entailment,premise_3_label,premise_3_neutral,premise_count_used
0,minicpm-v,2026-05-25T20:48:46.667596,0,Marine biodiversity at Gran Barrera has declined significantly from 2009 to 2019.,2,2,0.0006766159713151865,0.514141065068543,0.48518229951150715,contradiction,-0.48450568354019197,0.001212853123433888,0.9695450067520142,0.0,0.5,0.9695450067520142,0.00014037881919648498,contradiction,0.03031458891928196,0.0008195922710001469,0.001212853123433888,neutral,0.997967541217804,,,,,,,,,2
0,minicpm-v,2026-05-25T20:48:46.667596,1,Environmental stressors such as ocean acidification or warming temperatures likely caused the coral degradation over a decade.,2,2,0.0002826205382007174,0.8535845875740051,0.14613278151955456,neutral,-0.14585016098135384,0.0003289920568931848,0.2916352450847626,0.0,0.0,0.2916352450847626,0.0003289920568931848,neutral,0.7080357670783997,0.0006303179543465376,0.00023624901950825006,neutral,0.9991334080696106,,,,,,,,,2
1,minicpm-v,2026-05-25T20:48:51.627339,0,This could be indicative of drought or environmental degradation affecting local fauna.,3,3,0.0008227153254362444,0.9958105484644572,0.0033666820478780815,neutral,-0.002543966722441837,0.0013413791311904788,0.009492196142673492,0.0,0.0,0.00032377548632211983,0.0007530942093580961,neutral,0.998923122882843,0.00028407451463863254,0.0013413791311904788,neutral,0.9983744621276855,0.009492196142673492,0.0003736726357601583,neutral,0.990134060382843,,,,,3
1,minicpm-v,2026-05-25T20:48:51.627339,1,"In such conditions, it is likely that the ecosystem has been severely impacted by climate change leading to death of wildlife.",3,3,0.00029442696541082114,0.9983166654904684,0.0013889132339196901,neutral,-0.001094486268508869,0.0003952239640057087,0.003423624439164996,0.0,0.0,0.0003696512430906296,0.0003952239640057087,neutral,0.9992351531982422,0.00037346401950344443,0.0003350220213178545,neutral,0.9992915391921997,0.003423624439164996,0.0001530349109089002,neutral,0.9964233040809631,,,,,3
10,minicpm-v,2026-05-25T20:48:58.148914,0,Polar bears are experiencing difficulties finding enough to eat due to environmental changes and pollution.,3,3,0.000624832944595255,0.9980068206787109,0.0013684022608989228,neutral,-0.0007435693163036679,0.0011277131270617247,0.0025294001679867506,0.0,0.0,0.0025294001679867506,0.00023921013053040951,neutral,0.9972314238548279,0.001115927705541253,0.0011277131270617247,neutral,0.9977564215660095,0.00045987890916876495,0.0005075755761936307,neutral,0.9990326166152954,,,,,3
10,minicpm-v,2026-05-25T20:48:58.148914,1,"This may lead them to scavenge for human waste or scraps, indicating ecological disruption.",3,3,0.0005890728595356146,0.9962878425916036,0.003123115476531287,neutral,-0.0025340426169956727,0.0008465430000796914,0.006983000319451094,0.0,0.0,0.006983000319451094,0.0005334671586751938,neutral,0.9924835562705994,0.000990761094726622,0.0008465430000796914,neutral,0.9981628060340881,0.0013955850154161453,0.00038720841985195875,neutral,0.9982171654701233,,,,,3
11,minicpm-v,2026-05-25T20:49:05.219939,0,Polar bears rely on sea ice as a platform to hunt seals which is diminishing due to climate change.,4,4,0.0004000793705927208,0.9986288547515869,0.0009710880985949188,neutral,-0.000571008728002198,0.0007119011133909225,0.0015162744093686342,0.0,0.0,0.0007137057837098837,0.00032131740590557456,neutral,0.9989650249481201,0.00047889887355268,0.0002905663277488202,neutral,0.9992306232452393,0.0011754733277484775,0.00027653263532556593,neutral,0.9985479712486267,0.0015162744093686342,0.0007119011133909225,neutral,0.9977717995643616,4
11,minicpm-v,2026-05-25T20:49:05.219939,1,"This image illustrates the impact of melting Arctic ice, potentially leading to habitat loss for polar bears and other wildlife adapted to these conditions",4,4,0.0020646120829042047,0.8269599750638008,0.17097540700342506,neutral,-0.16891079492052086,0.0031157652847468853,0.6790435910224915,0.0,0.25,0.0016413015546277165,0.002462944481521845,neutral,0.9958957433700562,0.0006660575745627284,0.0005913932109251618,neutral,0.9987426400184631,0.002550677862018347,0.0031157652847468853,neutral,0.9943335056304932,0.6790435910224915,0.002088345354422927,contradiction,0.3188680112361908,4
12,minicpm-v,2026-05-25T20:49:11.142550,0,"Premise 1: The bear is standing on an icy platform.
Premise 2: There's a body of water with icebergs floating near the foreground.

Conclusion: It appears to be a polar region or similar cold environment where animals like bears may inhabit.",2,2,0.011646653525531292,0.9808797240257263,0.007473655976355076,neutral,0.004172997549176216,0.014260980300605297,0.012346859090030193,0.0,0.0,0.0026004528626799583,0.009032326750457287,neutral,0.9883672595024109,0.012346859090030193,0.014260980300605297,neutral,0.9733921885490417,,,,,,,,,2
13,minicpm-v,2026-05-25T20:49:24.129329,0,"Climate change is causing the polar bear's habitat to melt, making it difficult for the bear to maintain a cool temperature.",3,3,0.0012619290597892057,0.996478279431661,0.002259822911582887,neutral,-0.0009978938517936815,0.0030498295091092587,0.0034200989175587893,0.0,0.0,0.000573122757486999,0.0030498295091092587,neutral,0.9963770508766174,0.0034200989175587893,0.0004429561668075621,neutral,0.9961369633674622,0.0027862470597028732,0.000293001503450796,neutral,0.9969208240509033,,,,,3
