id,url,label_animals,label_climateaction,label_consequences,label_setting,label_type
1,https://pbs.twimg.com/media/ECvfjt_WwAINY01.jpg,Fish,No climate action,biodiversity loss,"Ocean, coastal",Collage
3,https://pbs.twimg.com/media/FJ3ygE8XoAM7vMw.jpg,Fish,No climate action,other consequences,Other setting,Infographic
10,https://pbs.twimg.com/media/Fi_DE_bX0AEEKpP.jpg,Fish,No climate action,drought,Desert,Photo
13,https://pbs.twimg.com/media/D60R8YwVUAEU0YU.jpg,Fish,Other,biodiversity loss,"Ocean, coastal",Photo
15,https://pbs.twimg.com/media/FWUYZCFXwAEaG7j.jpg,Fish,No climate action,other consequences,"Ocean, coastal",Screenshot
17,https://pbs.twimg.com/media/E6WOMUpXMAAsi39.jpg,Birds,No climate action,biodiversity loss,Other nature,Photo
18,https://pbs.twimg.com/media/E6WOOblWYAQJONq.jpg,Birds,No climate action,biodiversity loss,Other nature,Photo
23,https://pbs.twimg.com/media/FA-7BzfUUAUZ6h3.jpg,Birds,No climate action,biodiversity loss,"Ocean, coastal",Photo
26,https://pbs.twimg.com/media/E6WOY2XXsAcuQkG.jpg,Birds,No climate action,biodiversity loss,Other nature,Photo
34,https://pbs.twimg.com/media/E-70YNkWQAUb7jG.jpg,Pets,No climate action,other extreme weather events,Indoor space,Screenshot
35,https://pbs.twimg.com/media/E-70YNsWYAU5pxX.jpg,Pets,No climate action,other extreme weather events,Indoor space,Screenshot
38,image url no longer available,Pets,Protests,drought,No setting,Screenshot
44,https://pbs.twimg.com/media/E-70YNkWEAstHMp.jpg,Pets,No climate action,rising temperature,Indoor space,Screenshot
49,https://pbs.twimg.com/media/DzzWKLQW0AAVhqd.jpg,Land mammal,No climate action,biodiversity loss,Other setting,Photo
53,https://pbs.twimg.com/media/EAt3JneW4AA2pvU.jpg,Land mammal,Other,biodiversity loss,Other setting,Photo
54,https://pbs.twimg.com/media/EAt3JnlWsAAX8QT.jpg,Land mammal,Other,biodiversity loss,Other nature,Photo
57,https://pbs.twimg.com/media/ExUoRnTU4AIJdtG.jpg,Land mammal,Other,wildfires,"Forest, jungle",Screenshot
58,https://pbs.twimg.com/media/ExKEtbYXIAEm6-C.jpg,Land mammal,No climate action,floods,"Ocean, coastal",Photo
59,https://pbs.twimg.com/media/E9SyiPNXMAAX4t1.jpg,Land mammal,No climate action,drought,Other nature,Photo
60,https://pbs.twimg.com/media/FpvKOolXEAMz9oa?format=jpg&name=small,Land mammal,No climate action,biodiversity loss,"Forest, jungle",Posters/Event invitations
62,https://pbs.twimg.com/media/FkBBsNGXoAE3l8x.jpg,Land mammal,Other,biodiversity loss,Other setting,Illustration
63,https://pbs.twimg.com/media/FknO4eYXEAAa64W.jpg,Land mammal,No climate action,biodiversity loss,"Arctic, Antarctic",Photo
65,https://pbs.twimg.com/media/FiLyTsnWIAc9r-l.jpg,Insects,No climate action,biodiversity loss,Other setting,Posters/Event invitations
67,https://pbs.twimg.com/media/D6Ovn07XoAEBuN2.jpg,Insects,No climate action,biodiversity loss,Residential/commercial,Illustration
75,https://pbs.twimg.com/media/Fe0mqDhX0AApL06.jpg,Insects,No climate action,biodiversity loss,Other nature,Photo
78,https://pbs.twimg.com/media/FeXFjzBagAAT12r.jpg,Insects,No climate action,covid & general health,Other setting,Posters/Event invitations
100,https://pbs.twimg.com/media/Fi_DEp8WAAAcdnT.jpg,Farm animals,No climate action,drought,Other setting,Collage
102,https://pbs.twimg.com/media/FVJd84sXEAY_6FP.jpg,Farm animals,No climate action,drought,Desert,Photo
105,https://pbs.twimg.com/media/E1b3-JgX0AQzRi3.jpg,Farm animals,No climate action,floods,Residential/commercial,Photo
106,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTH3j9APVq0tSTqKtZQb8uHJa8ErCcIAFtynNG_RCj7W7sifR_x,Farm animals,No climate action,human rights,Desert,Photo
108,https://pbs.twimg.com/media/FfGqsH-XoAE_pei.jpg,Farm animals,No climate action,drought,Desert,Photo
109,https://pbs.twimg.com/media/E-6q92MXMAIQFlz.jpg,Farm animals,Other,other consequences,No setting,Posters/Event invitations
111,https://pbs.twimg.com/media/FfBRydFagAIceNJ.jpg,Farm animals,Other,other consequences,Agricultural/rural,Posters/Event invitations
112,image url no longer available,Polar bear,Protests,drought,No setting,Screenshot
