id,setting
0,"Ocean, coastal"
1,Desert
9,"Arctic, Antarctic"
2,Industrial
5,Residential/commercial
8,Desert
10,"Arctic, Antarctic"
11,"Arctic, Antarctic"
12,"Arctic, Antarctic"
13,"Arctic, Antarctic"
14,"Arctic, Antarctic"
16,"Arctic, Antarctic"
21,Desert
23,"Arctic, Antarctic"
24,Residential/commercial
25,Residential/commercial
28,Desert
29,Residential/commercial
30,"Ocean, coastal"
31,"Ocean, coastal"
32,Industrial
34,Residential/commercial
36,"Ocean, coastal"
39,"Forest, jungle"
40,Desert
41,Residential/commercial
43,Desert
45,Residential/commercial
48,Residential/commercial
49,Residential/commercial
51,"Ocean, coastal"
52,"Forest, jungle"
54,Desert
55,"Forest, jungle"
58,Residential/commercial
64,Desert
65,"Ocean, coastal"
66,"Arctic, Antarctic"
67,Residential/commercial
68,Industrial
69,Outer space
70,"Forest, jungle"
71,Desert
72,"Forest, jungle"
73,"Forest, jungle"
75,Residential/commercial
76,"Ocean, coastal"
77,Residential/commercial
78,"Forest, jungle"
79,"Arctic, Antarctic"
80,"Forest, jungle"
81,"Arctic, Antarctic"
84,Residential/commercial
85,"Ocean, coastal"
86,"Arctic, Antarctic"
89,Residential/commercial
90,"Ocean, coastal"
91,"Ocean, coastal"
