image_id,model,timestamp,conclusion_index,conclusion_text,num_premises,premise_count_used,agg_entailment,agg_neutral,agg_contradiction,agg_predicted_label,nli_confidence,max_entailment,max_contradiction,support_ratio,contradiction_ratio,premise_0_contradiction,premise_0_entailment,premise_0_label,premise_0_neutral,premise_1_contradiction,premise_1_entailment,premise_1_label,premise_1_neutral,premise_2_contradiction,premise_2_entailment,premise_2_label,premise_2_neutral,premise_3_contradiction,premise_3_entailment,premise_3_label,premise_3_neutral,premise_count_used
0,llava,2026-05-23T15:55:31.658939,0,The collage represents the impact of climate change on marine life and ecosystems.,3,3,0.003394992915370191,0.9939916928609213,0.0026133041828870773,neutral,0.0007816887324831137,0.0054482948035001755,0.0034011502284556627,0.0,0.0,0.0034011502284556627,0.0054482948035001755,neutral,0.9911504983901978,0.0024077720008790493,0.0003451422380749136,neutral,0.997247040271759,0.00203099031932652,0.004391541704535484,neutral,0.9935775399208069,,,,,3
0,llava,2026-05-23T15:55:31.658939,1,"These images suggest that coral reefs are experiencing a decline in health due to environmental factors, such as rising water temperatures and ocean acidification.",3,3,0.0003885910167203595,0.9988040328025818,0.0008073757247378429,neutral,-0.0004187847080174834,0.0005836121854372323,0.0009629345731809735,0.0,0.0,0.0005641276948153973,0.00029572725179605186,neutral,0.9991401433944702,0.0009629345731809735,0.00028643361292779446,neutral,0.9987505674362183,0.0008950649062171578,0.0005836121854372323,neutral,0.9985213875770569,,,,,3
1,llava,2026-05-23T15:55:40.742654,0,"This scene could indicate a negative impact on the local aquatic ecosystem, potentially due to water pollution, overfishing or climate change affecting local fish populations.",3,3,0.010125765305322906,0.9888386527697245,0.0010355549165979028,neutral,0.009090210388725003,0.02885119989514351,0.002042169217020273,0.0,0.0,0.00039876968367025256,0.000855542195495218,neutral,0.9987456798553467,0.002042169217020273,0.02885119989514351,neutral,0.9691066145896912,0.0006657258491031826,0.0006705538253299892,neutral,0.9986636638641357,,,,,3
10,llava,2026-05-23T15:55:56.890236,0,"The comic strip appears to be making a statement about the lack of media coverage and attention given to climate change by emphasizing that only a small part of the issue is being addressed, while more serious consequences are ignored.",4,4,0.036235345192835666,0.9592991918325424,0.004465451638679951,neutral,0.031769893554155715,0.1337568610906601,0.01078349631279707,0.0,0.0,0.0012236562324687839,0.00034135120222344995,neutral,0.9984349608421326,0.0010969823924824595,0.1337568610906601,neutral,0.8651461005210876,0.01078349631279707,0.0010054842568933964,neutral,0.9882110357284546,0.004757671616971493,0.009837684221565723,neutral,0.9854046702384949,4
10,llava,2026-05-23T15:55:56.890236,1,The portrayal of a person in a suit ignoring the melting iceberg could imply that those who hold positions of power or influence may be contributing to the underrepresentation or neglect of climate change as an important issue.,4,4,0.24159590237104567,0.5633208407089114,0.19508326213690452,neutral,0.046512640234141145,0.9649104475975037,0.772087037563324,0.25,0.25,0.001146351220086217,0.0002636884164530784,neutral,0.9985899329185486,0.006682598032057285,0.0006428688066080213,neutral,0.9926745295524597,0.772087037563324,0.000566604663617909,contradiction,0.22734636068344116,0.00041706173215061426,0.9649104475975037,entailment,0.03467253968119621,4
11,llava,2026-05-23T15:56:04.980152,0,"This image portrays a scene that can be attributed to climate change, as the presence of a polar bear on an iceberg indicates loss of sea ice and habitat due to warming temperatures.",3,3,0.0014118676578315597,0.9846804340680441,0.013907655763129393,neutral,-0.012495788105297834,0.001817895332351327,0.03886289894580841,0.0,0.0,0.0011883373372256756,0.0015200093621388078,neutral,0.997291624546051,0.0016717310063540936,0.001817895332351327,neutral,0.9965103268623352,0.03886289894580841,0.000897698279004544,neutral,0.9602393507957458,,,,,3
12,llava,2026-05-23T15:56:17.638721,0,"The event or journey depicted on the sign might be related to environmental conservation, as suggested by the presence of the polar bear and the hashtag related to animal extinction.",4,4,0.010339449141611112,0.9844432920217514,0.005217270896537229,neutral,0.005122178245073883,0.04030481353402138,0.014101259410381317,0.0,0.0,0.014101259410381317,0.0002984192979056388,neutral,0.9856003522872925,0.003915012814104557,8.521544805262238e-05,neutral,0.995999813079834,0.0015720425872132182,0.0006693482864648104,neutral,0.9977585077285767,0.0012807687744498253,0.04030481353402138,neutral,0.9584144949913025,4
12,llava,2026-05-23T15:56:17.638721,1,The purpose of this event or journey is likely to raise awareness about the threats faced by animals such as the polar bear due to climate change and its impacts on their habitats.,4,4,0.003251683803682681,0.9950392544269562,0.0017090402106987312,neutral,0.00154264359298395,0.01103052869439125,0.004975604824721813,0.0,0.0,0.004975604824721813,0.01103052869439125,neutral,0.9839938879013062,0.0006057476857677102,0.00016780043370090425,neutral,0.999226450920105,0.0006757578812539577,0.0010710136266425252,neutral,0.9982531666755676,0.0005790504510514438,0.0007373924599960446,neutral,0.998683512210846,4
13,llava,2026-05-23T15:56:28.359077,0,"This image seems to convey a message about the impact of climate change on polar bears and their habitat, emphasizing the seriousness of the situation",3,3,0.0016600692955156167,0.9648499091466268,0.03349000606491851,neutral,-0.03182993676940289,0.002319984370842576,0.09976305067539215,0.0,0.0,0.0003484111512079835,0.002016330137848854,neutral,0.9976352453231812,0.09976305067539215,0.002319984370842576,neutral,0.8979169726371765,0.0003585563681554049,0.0006438933778554201,neutral,0.9989975094795227,,,,,3
13,llava,2026-05-23T15:56:28.359077,1,The use of the word 'not cool' suggests that the creator of the image wants to elicit an emotional response from the viewer in regards to the threat posed by global warming to polar bears,3,3,0.00030136127315927297,0.9966889023780823,0.0030097358588439724,neutral,-0.0027083745856846995,0.00037515079020522535,0.005755350459367037,0.0,0.0,0.0024683165829628706,0.00037515079020522535,neutral,0.9971565008163452,0.005755350459367037,0.00028852937975898385,neutral,0.9939561486244202,0.0008055405342020094,0.0002404036495136097,neutral,0.9989540576934814,,,,,3
14,llava,2026-05-23T15:56:36.361659,0,"Climate change is causing the Arctic ice to melt, which is affecting the habitat of polar bears, potentially leading to changes in their behavior and migration patterns.",3,3,0.0006343826147106787,0.998078187306722,0.001287410588702187,neutral,-0.0006530279739915082,0.0008232085965573788,0.001967035699635744,0.0,0.0,0.001453747390769422,0.0008232085965573788,neutral,0.9977230429649353,0.0004414486757013947,0.0004785002674907446,neutral,0.9990799427032471,0.001967035699635744,0.0006014389800839126,neutral,0.9974315762519836,,,,,3
16,llava,2026-05-23T15:56:45.710119,0,2 to 4 degrees Celsius may be a safe range for climate change as it is not too drastic compared to the extreme cold shown in this image.,3,3,0.0007875261265629282,0.9963488181432089,0.002863667750110229,neutral,-0.0020761416235473007,0.0013520378852263093,0.005047262646257877,0.0,0.0,0.0016327013727277517,0.0006371900672093034,neutral,0.9977301955223083,0.0019110392313450575,0.0003733504272531718,neutral,0.9977155923843384,0.005047262646257877,0.0013520378852263093,neutral,0.9936006665229797,,,,,3
16,llava,2026-05-23T15:56:45.710119,1,"A 2 degree increase in global temperatures could lead to more melting of ice and snow, potentially causing significant changes to ecosystems.",3,3,0.00024717913280862075,0.9983408451080322,0.0014119523499781887,neutral,-0.001164773217169568,0.0004098143836017698,0.0016272042412310839,0.0,0.0,0.0016272042412310839,0.0004098143836017698,neutral,0.9979629516601562,0.0016176368808373809,0.00013709347695112228,neutral,0.9982452392578125,0.0009910159278661013,0.0001946295378729701,neutral,0.9988143444061279,,,,,3
2,llava,2026-05-23T15:56:54.975307,0,Climate change poses significant economic risks and requires urgent action to prevent catastrophic financial consequences.,3,3,0.0030736254217724004,0.9964057604471842,0.0005205685738474131,neutral,0.0025530568479249873,0.00816711038351059,0.0006279907538555562,0.0,0.0,0.0005780774517916143,0.0005044370191171765,neutral,0.9989174604415894,0.00035563751589506865,0.00816711038351059,neutral,0.9914771914482117,0.0006279907538555562,0.0005493288626894355,neutral,0.9988226294517517,,,,,3
21,llava,2026-05-23T15:57:05.762563,0,The presence of a small green plant amidst the cracked soil suggests that life is able to survive in these harsh conditions.,3,3,0.0004462230038673927,0.998350997765859,0.001202791880738611,neutral,-0.0007565688768712184,0.000780485279392451,0.0026605327147990465,0.0,0.0,0.0006418070406652987,0.00032177582033909857,neutral,0.999036431312561,0.00030603588675148785,0.000780485279392451,neutral,0.9989135265350342,0.0026605327147990465,0.0002364079118706286,neutral,0.9971030354499817,,,,,3
21,llava,2026-05-23T15:57:05.762563,1,"The dry and cracked soil indicates that this area may be experiencing drought or water stress, affecting vegetation and potentially other ecosystems.",3,3,0.0027957538647266724,0.9919801751772562,0.005224067019298673,neutral,-0.0024283131545720003,0.005114901345223188,0.015053138136863708,0.0,0.0,0.00036955662653781474,0.0008130090427584946,neutral,0.9988173842430115,0.015053138136863708,0.0024593512061983347,neutral,0.9824874997138977,0.0002495062944944948,0.005114901345223188,neutral,0.9946356415748596,,,,,3
23,llava,2026-05-23T15:57:13.136927,0,An implication of the increasing global temperatures is that polar bears are at risk due to their habitat being threatened by melting ice caps.,2,2,0.0007691054270253517,0.9983483850955963,0.0008825256081763655,neutral,-0.00011342018115101382,0.001385258394293487,0.0009418094996362925,0.0,0.0,0.0009418094996362925,0.001385258394293487,neutral,0.997672975063324,0.0008232417167164385,0.00015295245975721627,neutral,0.9990237951278687,,,,,,,,,2
24,llava,2026-05-23T15:57:22.201830,0,"The man appears to be observing the temperature, which is quite hot.",4,4,0.000584078072279226,0.998449295759201,0.0009665968973422423,neutral,-0.00038251882506301627,0.0013390622334554791,0.0015516640851274133,0.0,0.0,0.00036786534474231303,0.0005038829986006021,neutral,0.9991281628608704,0.001477345242165029,0.0002559762797318399,neutral,0.9982666969299316,0.0015516640851274133,0.00023739077732898295,neutral,0.9982109069824219,0.00046951291733421385,0.0013390622334554791,neutral,0.9981914162635803,4
25,llava,2026-05-23T15:57:29.994861,0,"The location appears to be experiencing severe flooding, which can be indicative of climate-related events such as heavy rainfall or rising sea levels.",2,2,0.05413680709898472,0.8249742984771729,0.12088892246538308,neutral,-0.06675211536639836,0.10166960209608078,0.24137385189533234,0.0,0.0,0.00040399303543381393,0.006604012101888657,neutral,0.9929920434951782,0.24137385189533234,0.10166960209608078,neutral,0.6569565534591675,,,,,,,,,2
28,llava,2026-05-23T15:57:40.564941,0,"The scene suggests an environment that may be facing challenges related to climate change or drought, as evidenced by the lack of vegetation and the presence of dead animals which could indicate scarcity of resources for local wildlife.",3,3,0.0006125294603407383,0.9769379099210104,0.022449549927841872,neutral,-0.021837020467501134,0.0008926986483857036,0.06635597348213196,0.0,0.0,0.0004927530535496771,0.0002646780922077596,neutral,0.9992425441741943,0.0004999232478439808,0.0008926986483857036,neutral,0.998607337474823,0.06635597348213196,0.0006802116404287517,neutral,0.9329638481140137,,,,,3
28,llava,2026-05-23T15:57:40.564941,1,"The small village in the background might also face resource scarcity, impacting the livelihoods of those living there due to these environmental conditions.",3,3,0.0005576520343311131,0.9990986585617065,0.00034366508286135894,neutral,0.00021398695146975416,0.0006589709082618356,0.00039626454235985875,0.0,0.0,0.00027917022816836834,0.00048309279372915626,neutral,0.9992376565933228,0.00039626454235985875,0.0006589709082618356,neutral,0.9989446997642517,0.00035556047805584967,0.0005308924010023475,neutral,0.9991136193275452,,,,,3
29,llava,2026-05-23T15:57:54.694616,0,"The lack of clouds may indicate an unusual atmospheric condition or a meteorological event, such as fog or smog, which has obscured the normal view of the sky.",3,3,0.007485789402077596,0.9600483377774557,0.03246588746939475,neutral,-0.024980098067317155,0.01958644762635231,0.05222995579242706,0.0,0.0,0.05222995579242706,0.002369527006521821,neutral,0.9454005360603333,0.0007804480264894664,0.000501393573358655,neutral,0.99871826171875,0.04438725858926773,0.01958644762635231,neutral,0.9360262155532837,,,,,3
29,llava,2026-05-23T15:57:54.694616,1,"The city's lights reflect off a body of water nearby, which can help deduce that this is an urban area with water bodies adjacent to it. This can also provide context for why the lighting conditions are so dramatic in the image, as light reflections may enhance or change the colors of the sky.",3,3,0.0023788359637061753,0.9873886704444885,0.010232478380203247,neutral,-0.007853642416497072,0.0031480826437473297,0.010468394495546818,0.0,0.0,0.01034955307841301,0.0031480826437473297,neutral,0.9865024089813232,0.009879487566649914,0.0026234264951199293,neutral,0.987497091293335,0.010468394495546818,0.0013649987522512674,neutral,0.9881665110588074,,,,,3
