img_id,dialog,narration,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes,tag,sentiment,subjectivity,emotion
bp_0_0_0,perhaps queely fell easily to your blade--,"[""the black panther's superb agility keeps him alive until he's in position to counter-attack...""]","[[4.0, 107.0, 199.0, 160.0]]","[[2.0, 3.0, 251.0, 101.0]]","[[41.0, 176.0, 214.0, 315.0]]",INFORM,0.43333333333333335,0.8333333333333334,"{""fear"": 0.3282, ""neutral"": 0.3211, ""anger"": 0.1389, ""surprise"": 0.0955, ""disgust"": 0.0538, ""sadness"": 0.0513, ""joy"": 0.0111}"
bp_0_0_3,-- but you will find the panther a most uncooperative target!,"['then, with cobra-speed, the black panther strikes back!']","[[6.0, 56.0, 277.0, 121.0]]","[[6.0, 6.0, 344.0, 51.0]]","[[83.0, 180.0, 200.0, 281.0]]",INFORM,0.625,0.5,"{""anger"": 0.6034, ""disgust"": 0.196, ""neutral"": 0.1373, ""sadness"": 0.0338, ""surprise"": 0.0112, ""fear"": 0.0093, ""joy"": 0.009}"
bp_0_100_0,i am honored by this gathering of royal panthers! destiny demands that one of you must take command of a dangerous situation!,[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",,-0.75,0.9,"{""joy"": 0.9659, ""anger"": 0.0227, ""surprise"": 0.0046, ""fear"": 0.0027, ""sadness"": 0.0026, ""neutral"": 0.0009, ""disgust"": 0.0005}"
bp_0_100_0,"i'm involved in high finance, n'gass! can you possibly imagine me dashing about with spear and shield?",[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",,0.1,0.77,"{""anger"": 0.5184, ""fear"": 0.1947, ""surprise"": 0.1412, ""joy"": 0.0629, ""disgust"": 0.0298, ""neutral"": 0.0277, ""sadness"": 0.0253}"
bp_0_100_0,i hear we've been summoned to deal with some provincial demon!,[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",INFORM,0.0,0.0,"{""fear"": 0.4308, ""anger"": 0.2267, ""sadness"": 0.1604, ""surprise"": 0.101, ""joy"": 0.0699, ""neutral"": 0.0079, ""disgust"": 0.0033}"
bp_0_100_0,it's something like that!,[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",FEEDBACK,0.0,0.0,"{""surprise"": 0.6902, ""anger"": 0.1765, ""disgust"": 0.0523, ""neutral"": 0.0367, ""joy"": 0.0303, ""sadness"": 0.0074, ""fear"": 0.0066}"
bp_0_100_0,"a local prankster, no doubt!",[],"[[11.0, 7.0, 185.0, 167.0], [248.0, 6.0, 432.0, 130.0], [557.0, 8.0, 757.0, 74.0], [779.0, 9.0, 875.0, 83.0], [669.0, 319.0, 807.0, 373.0]]",[],"[[201.0, 59.0, 256.0, 111.0], [352.0, 125.0, 402.0, 178.0], [496.0, 10.0, 557.0, 66.0], [619.0, 96.0, 724.0, 206.0], [750.0, 99.0, 844.0, 273.0]]",FEEDBACK,0.0,0.0,"{""joy"": 0.5082, ""surprise"": 0.1732, ""anger"": 0.1339, ""neutral"": 0.1271, ""disgust"": 0.0308, ""fear"": 0.0201, ""sadness"": 0.0068}"
bp_0_100_2,"the demon is real indeed! and, in t'challa's absence, there must be a black panther at the helm in this crisis!",[],"[[13.0, 9.0, 213.0, 122.0], [230.0, 6.0, 428.0, 89.0]]",[],"[[22.0, 139.0, 169.0, 321.0], [214.0, 93.0, 388.0, 261.0]]",,0.009722222222222224,0.24444444444444446,"{""surprise"": 0.2953, ""anger"": 0.2443, ""neutral"": 0.2303, ""disgust"": 0.1105, ""fear"": 0.0703, ""sadness"": 0.0262, ""joy"": 0.023}"
bp_0_100_2,are you suggesting that I fit this image of demon-fighter?!,[],"[[13.0, 9.0, 213.0, 122.0], [230.0, 6.0, 428.0, 89.0]]",[],"[[22.0, 139.0, 169.0, 321.0], [214.0, 93.0, 388.0, 261.0]]",YES-NO_QUESTION,0.5,0.4,"{""surprise"": 0.5481, ""neutral"": 0.1894, ""anger"": 0.1666, ""disgust"": 0.0721, ""fear"": 0.0104, ""sadness"": 0.0095, ""joy"": 0.004}"
bp_0_101_0,by the sacred panther fetish!,['suddenly...'],"[[112.0, 230.0, 208.0, 304.0], [624.0, 2.0, 816.0, 31.0], [778.0, 36.0, 885.0, 69.0]]","[[5.0, 4.0, 139.0, 31.0]]","[[0.0, 207.0, 106.0, 329.0], [344.0, 24.0, 439.0, 152.0], [779.0, 102.0, 837.0, 170.0]]",NOT_CLASSIFIABLE,0.0,0.0,"{""surprise"": 0.4601, ""anger"": 0.2273, ""disgust"": 0.15, ""neutral"": 0.1158, ""joy"": 0.0251, ""sadness"": 0.012, ""fear"": 0.0097}"
